,sections,Text
0,Introduction,"1, 4-cyclohexanedimethanol (CHDM) is a highly value-added organic compound extensively used in the polymer industry [1,2]. It is noteworthy that CHDM is now preferred over ethylene glycol as a stepping-stone to produce polyester fibers [3,4]. The most feasible catalytic route to date for producing CHDM is still a two-step process, via firstly the hydrogenation of dimethyl terephthalate (DMT) to dimethyl 1, 4-cyclohexanedicarboxylate (DMCD), and subsequently hydrogenated to CHDM in the temperature range of 200−300 °C under 3−15 MPa H2 [5–7]. There is also successful one-pot synthesis of CHDM directly from DMT, unfortunately in the cost of lower conversion and turnover frequency, or the excessive loading of precious metals [7,8]. No matter how on an industrial scale, the most feasible route to CHDM is the catalytic hydrogenation of DMCD by using Cu-Cr based catalysts. The toxicity of such additional Cr species leads to severe environmental problems, and Cr-free catalysts with high efficiency are urgently to be designed. In recent study, Hu et al. [9] have synthesized a series of Cu-Zn-Al catalysts used for the fixed-bed hydrogenation of DMCD to CHDM. The reduction process and the stably dispersed metallic Cu and Cu+ species were confirmed to be a key point to activate the ester groups of reactant. However, the reaction conditions were relative harsh under high pressure with huge H2/DMCD ratio (406 mol/mol) and large dosage of catalyst (2.0–3.0 g). Other Ru or Pt based catalysts are also used as main catalysts for the production of CHDM, and bimetallic or even trimetallic catalysts have been designed for the reaction. The catalytic performance by using such multicomponent catalyst seems even mysterious to be understood, not to mention their unsatisfied activity. Besides, there is in fact not much work reported concerning the hydrogenation of ester groups of DMCD to CHDM. It is still of great importance to find new catalysts that are available to catalyze the hydrogenation of esters with well-established structure-performance relationship of catalysts. Till now, precious metal based catalysts have displayed satisfied hydrogenation performance for many heterogeneous reactions [10,11]. Different from other metals, Re precursor has the much lower price but inferior hydrogenolysis ability compared to other precious metals. It was reported that the additional Re species in precious metal based catalyst effectively adjust the dehydrogenation and C-O dissociation ability of active metal sites, remitting the excessive production of by-products [12–14]. Our previous work also suggested that using Re as dopant for the precious metal catalyst, fine distribution and smaller average sizes could be achieved [15,16]. However until now, there is rarely report concerning the hydrogenation ability and the surface chemical environment of monometallic Re catalyst to understand the selective hydrogenation process of DMCD. Under such circumstance, a series of ReOx nanoparticles have been supported on activated carbon with different pre-treatments. The influence of Re decoration and pre-treatment on the surface chemical composition, metal dispersion, and their rational performances on the selective hydrogenation ability have been studied in detail."
1,Experimental part,
2,Materials,"2.1 Materials All chemicals and reagents were of analytical grade. The NH4ReO4 and activated carbon were purchased from Aladdin Chemical Co., Ltd. All the other chemical reagents such as the 37 % H2O2 and concentrated HNO3 employed in this study were obtained from Sinopharm chemical reagent Co. Ltd. Deionized (DI) water was used in the experiments."
3,Catalyst preparation,"2.2 Catalyst preparation Activated carbon was preliminarily washed with boiled water to remove the residual ash content. It was previously reported that porous structure and the surface area, as well as the surface chemical environment might be modified in case of pre-treatments [17]. Herein, different pretreatments were used to modify the activated carbon: i) activated carbon was thermally treated under pure H2 at 800 °C for 10 h, and denoted as AC-H; activated carbon was treated by ii) 37 % H2O2 aqueous solution for 5 h or iii) concentrated HNO3 solution for 5 h, denoted as AC−HO and AC-N, respectively; vi) thermally treated by H2 and subsequently by concentrated HNO3 solution for 5 h, denoted simply as AC. Wash and filter of samples were necessary until the pH value of solution reaches 7.0. Re based catalysts have been prepared by incipient wetness impregnation. Certain amount of NH4ReO4 as precursor was dissolved in distilled water. 1 g activated carbon was added into the aqueous solution of Re precursor with stirring and sonicated for 30 min. The mixture was aged for 16 h and dried directly overnight in an oven under 60 °C. The as-obtained dry powder is label as Rex/AC-y (x = 1, 3, 5, 7, 9; y suggests the type of pretreatment)."
4,Characterization,"2.3 Characterization Transmission electron microscopy (TEM) was performed on a FEI Tecnai F30 electron microscope at an acceleration voltage of 120 kV. Before each observation, the catalyst was dissolved in solvent and treated in sonication for 10 min. Several drops of the supernatant liquid were added and evaporated on the copper grid. BET surface area and the pore structure of the catalysts were investigated using N2 physical adsorption/desorption at −196 °C on an automatic volumetric sorption analyzer (Quantachrome, Autosorb-iQ-C). The specific surface area was calculated by the BET equation and the pore size was derived from the desorption branch of the isotherms by BJH method. Temperature-programmed reactions were operated on a Quantachrome ChemStar3000 equipment. H2-temperature-programmed reduction (H2-TPR) was tested using 100 mg sample. The sample was purged in Argon for 2 h at room temperature. After the gas atmosphere was changed to the mixture of 10 % hydrogen in argon, the reduction data was recorded in the range of 50−800 °C. During the ammonia temperature-programmed desorption (NH3-TPD), reduced catalyst (100 mg) was pre-treated by NH3/He gas mixture at 50 °C for 1 h. After purged with He, the desorption was carried out and recorded from 50 to 700 °C. X-ray diffraction (XRD) measurements were carried out within 10° -80° on the Shimadzu XRD-7000S diffractometer with a Cu Kα radiation at 40 kV and 30 mA. X-ray photoelectron spectroscopy (XPS) measurements were performed on an ESCALAB™ 250Xi (Thermo Fisher, USA) with the monochromatic Al Kα (1486.6 eV) X-ray source. CO chemisorption was carried out using a Micrometer Autochem 2910 instrument. The Raman spectra was recorded using a 532 nm laser source by Renishaw’s in Via Confocal Raman Microscope. The surface defect density was evaluated according to the equation proposed by Cançado et al. [18]. n D c m - 2 = ( 7.3 ± 2.2 ) × 10 9 E L 4 I D I G where ID/IG is the ratio of peak intensity by height in Raman spectra locating around 1340 cm−1 and 1570 cm−1. EL is the excitation energy around 2.41 eV for single layer and few layer graphene [19]. Before each characterization, the catalyst was reduced under H2/Ar atmosphere at 460 °C for 3 h, to ensure their identical condition as those before the reaction test, except the H2-TPR."
5,Catalyst evaluation,"2.4 Catalyst evaluation Liquid-phase hydrogenation was performed in 50 mL autoclave with electric temperature controller. Certain amount of reactant dimethyl 1, 4-cyclohexanedicarboxylate (DMCD) was dissolved in isopropanol with 125 mg catalyst pre-reduced by H2/Ar under 460 °C for 3 h. The reactor was purged with hydrogen for three times to remove residual air and the aimed reaction pressure was set. The reactor was heated subsequently to the desired temperature under constant stirring. After reaction, the reactor was cooled down to room temperature. The liquid samples were analyzed by gas chromatograph (GC-7890 F, FID, FFAP column 30 m × 0.32 mm × 0.5 mm) using the P-xylene as internal standard. The conversion of DMCD x D M C D , selectivity S i and the relative yield Y i of different products were calculated by the following equations [20]: C o n v e r s i o n x D M C D = n 0 - n t n 0 × 100 % S e l e c t i v i t y S i = n i ∑ n i × 100 % Y i e l d Y i = x D M C D × S i × 100 % Where n0 represents the initial number of moles of DMCD and nt represents the number of moles of DMCD at time t. ni represents the molar quantity of product i. The specific reaction rate to convert one mmol of DMCD, based on per gram of surface exposed active metal per hour, was evaluated by the following equation: R = n c o n v . ∙ 10 - 3 m R e ∙ D d i s p . ∙ t m m o l ∙ g R e - 1 ∙ h - 1 Where n c o n v . is the number of moles of converted DMCD, in mmol; m R e is the mass of Re species in use, in gram; D d i s p . is the surface dispersion of active metal sites tested by CO chemisorption; and t is the reaction time, in hour."
6,Results and discussion,
7,Chemical composition and texture properties of Rex/AC,"3.1 Chemical composition and texture properties of Rex/AC The morphology of the reduced sample is revealed by TEM images as shown in Fig. 1 A. The black spots in each sample should be Re-containing particles due to the big atomic number of Re compared to C. Only very few amount of particles can be observed in the Re1/AC sample, due to the lower Re content. The average particle sizes of Re3/AC, Re5/AC, and Re9/AC samples are calculated to be 2.1, 3.7, and 5.3 nm, respectively, based on the statistical results of more than 200 particles. Re species are easily dispersed on the surface of activated carbon without obvious sintering of huge particles. As the amount of rhenium increases, both small and bigger particles appear mainly caused by the slight accumulation of Re element, especially in the Re9/AC sample. The influence of Re species on the structure of activated carbon has been detected by the N2 adsorption/desorption isotherms (Fig. 1B). The BET surface areas and the average pore sizes of different samples are listed in Table 1 . The tested samples display the typical isotherms of type I (<0.02) with microspore filling and type IV by capillary condensation at high pressure, suggesting the co-presence of micro- and meso-pores [21,22]. The H4 hysteresis loop exists at relative pressure (P/P0) of 0.5–1.0 [23], mainly due to the inter-particle textural pores in the carbon materials. The surface areas of the Rex/AC samples change from 541 to 370 m2/g as the Re content increases to 7−9 wt%. The average pore sizes also slightly decrease from 4.6 nm to 4.2 nm. In fact, the initial surface area of activated carbon is 486 m2/g and the average pore size is 4.6 nm. The decoration of Re causes the incrementing of the surface area without great change on the pore size, especially if the Re content was lower (e.g. Re1/AC and Re3/AC). It is inferred that the additional doping and calcination processes in the Rex/AC samples may result in the rough surface of carbon, which contributes to the larger surface area in turn. However, as the Re content raises, the metal particles are accumulated on the surface of carbon and may partially occupy the pores accounting for the loss of both the surface area and pore sizes. The reducibility and redox behavior of different samples are studied by H2-TPR (Fig. 1C). Two reduction peaks locating at 300−400 °C and 600 °C can be observed in the samples. The reduction peak at lower temperature (denoted as α peak) should be ascribed to the surface or subsurface metal species in oxidization states [24–26], and the peak at higher temperature is assigned to the methanation of carbon with H2 to form CH4 [27]. The desorption temperature of α peak varies as a function of Re contents. The α reduction peak in Re1/AC is maximized at 390 °C. Moderate raising of the Re contents (Re5/AC and Re7/AC samples) results in the reduction peak towards lower temperature (310 °C) with much intensified peak heights. The further increase of Re content to 9 wt% leads to slight delay of the α peak to 340 °C. For better comparison, the reduction peaks have been deconvoluted and the H2 consumption of the α peak is evaluated as listed in Table 1. Both the intensity and related H2 consumption of the α peak clearly raises with the metal loading. However, it is worth noting that although the Re loading increments in different Rex/AC samples, the area of the α peak does not change proportionally. The H2 consumption by Re9/AC is only about 2.3-fold higher than the Re1/AC sample. It is inferred that the metal surface dispersion or even the Re-C interaction might be distinctive by Re decoration in different samples. No matter how, appropriate amount of Re on activated carbon enhances the reducibility of metal precursor, and the rhenium species could be further modulated after the H2 thermal treatment (Fig. 2 ). The detailed information of surface metal composition in the reduced catalyst is further revealed by XPS spectra in the Re4f region. The overlapped peaks of rhenium species can be deconvoluted into two sets of peaks due to a doublet Pd 4f 7/2 and 4f 5/2 signals. The binding energy in the Re 4f7/2 region at about 40.8 eV, 42.4 eV, 45.4 eV should be related to the Re0, Re4+, and Re6+ species [28,29], respectively. Multiple chemical valences are revealed in different samples with Re6+ species as the main composition even after H2 reduction at 460 °C. In the Re3/AC sample, 69 % Re6+ species exists together with small amount of Re4+ (16 %) and Re0 (15 %), as listed in Table 2 . Even lower amounts of Re4+ (12 %) and Re0 (12 %) species are detected in Re5/AC. While the Re4+ and Re0 species are barely observed in Re9/AC. It is suggested by the XPS data that small amount of Re decoration (≤ 5 wt%) facilitates the generation of Re4+ and Re0 in the reduced states. The binding energy of Re6+ species shifts simultaneously from 45.2 eV of Re3/AC to 45.4 eV of Re9/AC. Electron transfer is likely to be happened from Re to C, which should be mainly resulted from the enhanced Re-C interaction with rhenium decoration. The surface molar ratio between Re and C is also given in Table 2. The slightly higher ratio of Re/C, about 1.3–2.0 times compared to the theoretical value is consistent with the well dispersion of metal species on the surface of carbon."
8,Selective hydrogenation from diester to diol,"3.2 Selective hydrogenation from diester to diol The as-synthesized Rex/AC catalysts have been used for the selective hydrogenation of dimethyl 1,4-cyclohexanedicarboxylate (DMCD, i.e. diester) to 1, 4-cyclohexanedimethanol (CHDM, i.e. diol) (Table 3 ). Pure activated carbon did not perform any activity for the hydrogenation. Diverse by-products have been detected during the reaction by different catalysts as listed in Scheme S1 (Supporting information). The target product−CHDM is transformed preferentially from DMCD to the semi-hydrogenated methyl 4-hydroxymethylcyclohexane carboxylate (MHMCC) and subsequent CHDM. Excessive hydrogenation of CHDM forms the 4-Methyl-1-cyclohexanemethanol (MCHM), and even small percentages of cyclohexane and its derivatives (product d–f in Scheme S1). Inappropriate hydrogenation of MHMCC could also result in the direct removal of one side hydroxyl group and even −CH3 to form cyclohexanecarboxylic acid (a–c). For clearer comparison, the selectivity of the CHDM and relevant by-products including the MHMCC and MCHM are listed in Table 3. The Re1/AC sample gives only 41 % conversion of DMCD with the semi-hydrogenated MHMCC as the major by-product. The incremental content of Re (from 1% to 5%) leads to the further hydrogenation of both the ester groups in DMCD to give the final diol −CHDM. The DMCD conversion and CHDM selectivity increases steadily with the Re content. 93 % conversion of DMCD and 58 % CHDM selectivity can be reached using the Re5/AC catalyst. Excessive Re decoration results in stable DMCD conversion around 95 % but further transformation of CHDM into other by-products. The influences of reaction conditions have been studied by using Re5/AC as a typical sample (Fig. 3 ). Both the reaction temperature and pressure affect the distribution of products. Lower temperature causes the direct formation of semi-hydrogenated MHMCC with only one side of ester group transferred into alcohol. The final yield of diol (CHDM) increases volcanically with the reaction temperature and reaches its maximum around 220 °C. Further raising of temperature leads to the formation of MCHM due to the excessive hydrogenation of one −CH2OH into −CH3. The variation of reaction pressure performs similar trend on the distribution of products. Reaction condition under 10 MPa H2 at 220 °C gives the better selectivity of diol at 66 % with nearly complete conversion of diester. It is visible that MHMCC and CHDM are formed as the initial product within the first 4 h. CHDM is accumulated with the prolonged reaction time, which should be transformed from the MHMCC. For better understanding of the hydrogenation process, the conversion of DMCD and selectivity of products as a function of the catalyst dosage are shown in Fig. 3D. The decrease of catalyst dosage results in the higher amount of semi-hydrogenated MHMCC, due to the insufficient hydrogenation ability by the less amount of catalyst. Whilst excessive dosage of catalyst (weight ratio of reactant/catalyst < 4:1) causes the drastic hydrogenation process to form excessively hydrogenated MCHM with −CH3. It is interesting that although the higher dosage of catalyst restrains the formation of other complex products, the yield of DMCD could not be further facilitated. In addition, Re species decorated carbon with different pre-treatments have also been synthesized and tested for comparison (Table 2, entry 6–9), including the H2 thermal treatment (Re5/AC-H), H2O2 treatment (Re5/AC-HO), HNO3 treatment (Re5/AC-N), and H2/HNO3 bi-functionalization (Re5/AC). It is remarkable that the pre-treatments of activated carbon result in the distinctive catalytic behaviors. The Re5/AC-H displays only 15 % conversion of diester (DMCD) at 220 °C for 10 h. However, semi-hydrogenated MHMCC is produced as the main by-product and the selectivity of diol is as low as 10 %. An additional by-product (product g in Scheme S1) was also detected occasionally in the reaction solution, mainly caused by the condensation between DMCD and isopropanol, which is only observed by using Re5/AC-H. The Re5/AC-HO and Re5/AC-N samples have nearly identical catalytic performances with 81 % and 79 % conversion of DMCD. The selectivity of CHDM are 23 % and 26 % by Re5/AC-HO and Re5/AC-N, respectively. It was reported that H2O2 aqueous solution and concentrated HNO3 behaved as available oxidants to oxidize carbon materials and abundant oxygenated groups were easily generated [30,31]. Based on the bi-functionalization by both H2 thermal treatment and subsequent HNO3 oxidation, the Re5/AC sample largely facilitates the formation of the target diol product (yield of 66 %) with complete conversion of DMCD at 220 °C in 10 MPa H2."
9,Phase analysis and surface properties of rhenium catalysts,"3.3 Phase analysis and surface properties of rhenium catalysts It is until now suspected that two major elements are essential for the catalytic performance and selectivity of diol by the series of Re catalysts: i) The rhenium sites with moderate ability to activate, adsorb, or dissociate both the H2 and reactant molecules; and ii) The possible roles of surface functionalization and oxygenated groups to modulate the surface environment/ of rhenium in Re/AC samples. It is straightforward that the surface chemistry of each sample should be relevant with their catalytic activities. Herein, XRD is performed subsequently to determine the possible particle sizes and crystal phases in different catalysts (Fig. 4 ), in order to rule out other complex surface and structure parameters. Two broad diffraction peaks at 20−30° and 40−50° related to the (002) and (100) crystal faces of amorphous carbon can be observed in all the samples [32,33]. After the decoration of Re species, there is no observation of Re-containing species, independent of the Re content or the pretreatment. Considering the relatively high amount of Re species, especially in Re7/AC and Re9/AC, no great accumulation or aggregation is formed by Re species. However, the peak intensity of amorphous carbon largely declines with the raising metal loadings, indicating the degree of aromatization and the aromatic planar molecular size were influenced by metal decoration. Re species may change the surface of activated carbon by surface decoration or even inserting, which may split the support into small and randomly oriented sheets [34,35]. The easy formation of small ReOx particles not only change the micro-structure of carbon, but may also alter the surface chemical environment of the catalysts. In order to analyze the surface acidity that may be generated by the carbon surface and the Re decoration, NH3-TPD are further carried out. One intensive and broad desorption peak appears with its maximum around 600 °C (not shown), mainly due to the reaction between C and NH3 to form one sharp desorption peak. Overlapped desorption peaks can be observed in the range of 100−400 °C, as enlarged in Fig. 5 A-B. Pure carbon support displays two desorption peaks maximized at 110 °C and 270 °C, corresponding to the weak acid sites and medium strong acid sites [36,37]. The surface acidity of the activated carbon might be from the surface functionalized oxygenated groups such as −COOH and C-O(H) groups [38,39]. After Re decoration, the distribution of acid sites largely varies. In general, metal decoration in Re1/AC leads to the weakening of both the weak and medium strong acid sites. Formation of new acid sites at about 350 °C are observed. As the Re content increases, the peak location of the medium strong acid sites shifts from 350 °C to 280 °C with much intensified peak area. Whilst the desorption temperature of the weak acid sites is not obviously changed, confirming the unchanged type of weak acid sites. The series of Re5/AC-y samples (Fig. 5B) with different pretreatments display nearly identical location and peak area of the desorption peaks, unless the much delayed desorption peak at 300−350 °C in Re5/AC-H. It is also necessary to mention that only Re decorated carbon materials have the methanation peak at about 600 °C (Figure S1 in supporting information), whilst activated carbon does not display any observable peak in the range of 400−700 °C. Rhenium decoration facilitated the activation of carbon surface. It is also visualized that the surface acidity of rhenium catalysts, or more accurately the medium strong acid sites, is directly correlated with the surface dispersed rhenium species. In fact, the chemical etching may also happen during pretreatment and Re decoration, resulting in the modified surface micro-structure and can be revealed by the Raman spectra (Fig. 5C) [40]. In the wavenumber range of 1800−1000 cm−1, two broad peaks are displayed at 1340 and 1570 cm−1, representing the structural defects and partially disordered structures of the sp2 domains (D band) and the E2g vibration mode of sp2 C domains corresponding to the graphitization (G band), respectively. The intensity value of the two peaks (ID/IG) suggests the percentage of sp3 hybridized carbon atoms in the framework of carbon, viewed as a sign of the defect degree. Compared to the ID/IG value of the pure activated carbon (1.45), the related value after rhenium decoration is in the range of 1.8–2.1, and the calculated value of defect density is listed in Table 1. It is generally consistent with reports that metal doping or inserting may largely lead to the formation of structure defects [40,41], which also supports the assumption of XRD results. However, as the Re loading increases, the ID/IG decreases from 2.09 to 1.89. It is inferred that rhenium decoration results in changes on the carbon surface, and imperfect surface defects are generated surrounding small ReOx particles at lower Re content. Whilst excessive ReOx particles are formed at higher Re content, which may cause the sinking or blocking of surface instead of regional defects. On the contrary, the defect structure is not greatly influenced by different pretreatment of activated carbon only if the decorated Re content was similar (5 wt%) in this work. Oxygenated groups may simultaneously generated with surface defects during the synthesis and pretreatment [42,43]. And the XPS spectra in the O1s region is shown in Fig. 6 . The broad O1s peak can be deconvoluted into three overlapped peaks. The peaks at binding energy of 533.5 eV, 532.5 eV and 531.0 eV are corresponding to C-O(H), OCO, and CO of carbon, respectively [41,44]. The atomic ratio between O/C of different catalysts varies in the range of 7.0 %–9.5 % (Table 2), slightly raises with the incremental Re loadings. The lattice oxygen in the as-formed ReOx species also contributes to the distribution of surface oxygen species at 531.5−530.0 eV, overlapping with the CO species of carbon. It is also remarkable that both the percentages of CO and OCO species obviously decrease along with the Re content. Considering the weakening of acid sites on carbon and the increased value of ID/IG after Re decoration, it is rational that ReOx particles are generated occupying the surface oxygenated groups, especially the CO and OCO groups. The new generated lattice oxygen in ReOx replenishes the raising percentage of oxygen species at 531.0 eV from 21 % to 56 % as the Re loading raises from 3% to 9%. The different types of pretreatments also cause the variation of the O/C ratio. Pretreatments of activated carbon by H2O2 and HNO3 lead to similar O/C ratio and distribution of surface oxygen species. Using activated carbon after H2 thermal treatment, the Re5/AC-H sample have 51 % OCO coming from the anhydride and carboxyl groups, which partially accounts for the much intensified desorption peaks in NH3-TPD of Re5/AC-H, compare with other samples. For better confirmation of the metal surface distribution and other surface information, the STEM and high-resolution TEM of Re5/AC are illustrated in Fig. 7 A-B. The shining spots in Fig. 7A suggest the surface distribution of ReOx particles. Small Re particles are formed on the surface of activated carbon. Two different location in the TEM images are amplified as shown in Fig. 7B–I and B–II. The high-resolution TEM images illustrate the distribution of ellipsoidal particles on the surface of activated carbon. The interplanar distances of 2.24 Å, 2.09 Å and 1.90 Å are measured and are corresponding to the (002), (201) and (111) crystal faces of ReO3. The intersection angle of 65° and 53° between different crystal faces in Fig. 7B–I further confirms the existence of ReO3 phases. Very small and spherical ReO3 particles about 2 nm are also observed on the surface of activated carbon, as pointed by the dotted cycle in Fig. 7B–II. It is inferred that small ReO3 particles are readily formed in the Re5/AC sample and are possibly melted to form the ellipsoidal particles, due to the surface orientation effect during thermal treatment. The ReO3 (111) crystal faces are more frequently exposed with extensive surface platform in the special ellipsoidal particles. Interestingly, terrace sites are likely to be generated and exposed due to the interlaced (111) and (002) crystal faces as shown by the arrows in Fig. 7B–I. No matter how, the stability of the monometallic Re/AC still has to be enhanced. The catalytic performance of the Re5/AC sample is not satisfied as the DMCD conversion decreases continuously during the four-time reaction cycles (Figure S2). The selectivity of CHDM also decreases during the third time of reaction. It is suggested that the re-used sample becomes incompetent to activate the diester and to hydrogenate the intermediate in depth, mainly due to the variation of its surface composition or the structure. The TEM image of used Re5/AC sample is displayed in Figure S3. It is observable that particles on the surface of AC seem to be surrounded by the rough surface of amorphous carbon, which is possibly formed during the reaction and causes the coking on the catalyst. The failed exposure of the active ReOx species is responsible for the much watered-down catalytic behavior. Promoted Re/AC catalyst with availably and stably exposed ReOx sites should be more reliable for the reaction."
