,sections,Text
0,Introduction,"One of the big challenges for our society in this century is to decrease the enormous amount of non-biodegradable plastics waste. Every year, 150 million tons of plastic waste are estimated to reach the oceans [1]. To replace part of these non-biodegradable plastics for biodegradable and/or ‘bioplastics’, i.e. plastics prepared from renewable resources (biopolymers), in recent years, many by-products from both agricultural and marine companies have gained interest in different industry sectors such as cosmetics, medical and food packaging due to their sustainable and eco-friendly attributes. Therefore, numerous scientific studies have been done in this sense. This include the use of natural polymers or synthetic biodegradable polymers that can be use as matrices and/or reinforcing agents, and bioactive compounds, which are used to improve the biological properties of the final materials. Among the polymers, chitin (poly(β-(1–4)-N-acetyl-d-glucosamine), is a biopolymer found in the exoskeleton of crustaceans like crabs, lobsters and shrimps; and is one of the biggest residues in fishing industry [2,3]. However, it can also be found in the cell walls of fungi and in cuticle of insects. Being a supporting material in nature, chitin presents a highly organized micro- and nano-fibrillated structure. Under acid hydrolysis it is possible to obtain chitin nanocrystals (CHNC) with dimensions that can range from 6 to 60 nm in width and 100–800 nm in length [4,5]. These chitin nanocrystals present excellent properties namely low density, biocompatibility, low toxicity, biodegradability and antimicrobial properties. In addition, its use as reinforcing agents in biocomposite films, improves the thermal stability and the mechanical properties [6,7]. A very interesting synthetic polymer, that can be used for the mentioned applications, is poly(vinyl alcohol), PVA. It is a biodegradable, non-toxic, biocompatible and soluble in water polymer presenting good film-forming and mechanical properties [8–10]. Among the bioactive agents, essential oils (EOs) are one of the most important products of agriculture-based industry due to its bioactive properties that include antimicrobial, antiviral, antioxidant, anticancer and immunomodulatory [11–13]. Their production is superior to 70 000 tons per year. EOs are aromatic compounds with low molecular weight extracted from plants namely barks (cinnamon), leaves (eucalyptus), flowers (lavender) and peels of fruits (orange) [12,14]. They possess various applications in health, agriculture, cosmetic, food and medicine industries. Moreover, are recognized by the Generally Recognized as Safe (GRAS) by the US Food and Drug Administration (USFDA) as safe foods [11]. Due to its medicinal and culinary properties, oregano essential oil (Origanum vulgare), which belongs to the Lamiaceae family, is one of the most employed oil since ancient times. Its properties are attributed to the presence of monoterpenes among which carvacrol and thymol stand out [15,16]. The use of EOs is quite limited because of their high volatile properties and easily decomposition during handling, heating, exposure to oxygen or ultraviolet light, etc. [17,18]. For these reasons, EOs need to be encapsulated/incorporated in materials that could present the form of films, coatings, nanocapsules and emulsions, in order to preserve their bioactivity. Therefore, different polymeric matrices have been used such as chitosan, polylactic acid (PLA), soy protein, fish gelatine among others [19–22]. For instance, Munhuweyi et al. [23] used chitosan as matrix with oregano oil, and Wu J. et al. [24] used a mixture of gelatine with chitosan by incorporating this oil to make films. Also, PVA films were developed by mixing this polymer with clove oil and apple pomace as bioactive agents [9,10,25–27]. Hashemi et al. [27] prepared a basil seed gum coating with oregano oil and Fraj et al. [28] obtained polycaprolactone nanocapsules using this oil as an active ingredient. On the other hand, Hosseini et al. [16] studied emulsions of chitosan with oregano oil and Ribes et al. [29] prepared an emulsion with clove and oregano oil mixed with xanthan gum. Nonetheless, there are few works in which nanocrystals or nanofibers like nanocellulose or nanochitin, have been used to reinforce the final mechanical and biological properties of the films. Some examples are the research done by Luzi et al. [31] where the authors used PVA and chitosan, as a matrix adding carvacrol, as bioactive agent and cellulose nanocrystals as reinforcing agent; or by Ardekani et al. [30] that assessed the properties of PVA, Zataria multiflora oil and mats nanofiber films; or by Jahed et al. [32] that studied the physicochemical properties of Carum copticum essential oil loaded chitosan films containing organic nanoreinforcements. In this context, the aim of this research was to developed bioactive nanocomposite films using two different sources of alpha-chitin nanocrystals (α-CHNC) as reinforcing agents to improve the final properties of PVA and Origanum vulgare essential oil (OEO) films. To the best of our knowledge, chitin nanocrystals have not been studied as reinforcing agents in PVA with EOs, in particular with oregano oil. The effect of the different concentrations of EO and the origin of chitin nanocrystals on the final properties of the nanocomposite films, were assessed. Therefore, their thermal, mechanical and antioxidant properties were studied in order to evaluate their potential use in food packaging applications."
1,Materials and methods,
2,Materials,"2.1 Materials Two different chitin samples were used, one was kindly provided by Mahtani Chitosan Pvt. Ltd. (India), and the other, was extracted in-house from lobster exoskeletal waste that was kindly supplied by Antarctic Seafood S.A. (Chile). The two chitin nanocrystal samples were isolated in-house with the mentioned chitin samples by microwave irradiation technique (CEM-Discover) at 125 w for 10 min using a 1 M HCl solution (37% w/w, ACS reagent) in order to hydrolyse the amorphous regions of the chitin. The ratio chitin: HCl was of 1:30 w/v as described by Salaberria et al. [5]. After, the suspensions were cooled at room temperature, filtered, washed with distilled water until neutral pH and centrifuged in order to remove the excess of water. The two like-gel samples were finally stored in a refrigerator at 4 °C. These two chitin samples were then characterized. The degrees of acetylation (DA), determined by solid 13C NMR using a Bruker Advance III 400 spectrometer (USA), determined according Kasaai et al. [33] and were found to be 85% and 90% for shrimp and lobster chitin nanocrystals, respectively. The crystallinity index (CI%), was 89% for shrimp chitin nanocrystals and 94% for lobster chitin nanocrystals, as obtained by X Ray Diffraction (XRD) spectra (Philip X'pert Pro Automatic diffractometer, Amsterdam, Netherlands), using the published Sagheer et al. [34] equation. Oregano oil FCC (OEO, Origanum vulgare, with Food Grade) was supplied by Sigma-Aldrich. Origanum vulgare essential oil composition was determined using gas chromatography and mass spectrometry (GC/MS, Agilent GC 7890A, MS 5975C, USA). Briefly, 10 μL of oregano oil were dissolved in 1 mL of ethyl acetate and injected in a capillary column HP-5MS ((5 %-Phenyl) - methylpolysiloxane, 30 m × 0.25 mm). The GC/MS conditions were: split/splitless method in split mode (10:1), injector at 280 °C and Helium was used as carrier gas at a flow rate of 0.7 mL/min. The rate temperature began at 50 °C and was increased until 120 °C at 10 K/min and held for 5 min. In a second time, the temperature was raised to 280 °C at 10 K/min and holds this temperature during 8 min. And, finally, the temperature was increased to 300 °C at 10 K/min and held for 2 min. The identification of the different compounds was carried out by using the National Institute of Standards Library (NIST). The obtained data is summarized in Table 1 . Only compounds with areas superior to 0.4 were accounted for. 14 compounds of OEO were identified representing 97.4% of the total essential oil. The main components were carvacrol representing 75% and ϒ-terpinene at around 5.96%. These results are in agreement with those obtained previously by Munhuweyi et al. [23] and Hosseini et al. [16]. Hydrochloric acid (HCl 37%, ACS reagent), ethanol (EtOH, analytical standard), methanol (MeOH, HPLC grade), ethyl acetate (HPLC grade), Poly(vinyl alcohol) (PVA, Mw 13 000 – 23 000, 87–89% hydrolysed), Trolox (6-Hydroxy-2,5,7,8-tetramethylchromane-2-carboxylic acid, 97%) and DPPH (2,2-diphenyl-1-picrylhydrazyl) were supplied by Sigma-Aldrich. Gallic acid monohydrate (extra pure) and Folin-Ciocalteu reagent were purchased from Scharlau. Sodium carbonate anhydrous (general-purpose grade) was purchased from Fischer."
3,Preparation of the nanocomposite films,"2.2 Preparation of the nanocomposite films PVA solutions (2% w/v) were prepared by dissolving PVA in a mixture of ethanol (60% v/v) and distilled water under stirring overnight at 55 °C. The oregano essential oil (OEO) concentration varied from 0.5 to 2% v/v with respect to PVA solution. The nanocomposite films were prepared by adding 0.5% w/v of chitin nanocrystals (α-CHNC, from shrimp or lobster). The dispersion of α-CHNC in the PVA solutions was done using an Ultra-Turrax (Heidolph Silent Crusher M., Germany) at 13 500 rpm for 10 min. A second set of samples was prepared without α-CHNC. All suspensions or solutions were degassed in order to remove entrapped air. The films were then prepared by casting at room temperature using 50 mm-diameter silicon molds for 72 h. The ensuing materials were kept in a conditioning cabinet at 50 ± 5% relative humidity (RH) and 25 °C. In order to assess the impact of the ultraviolet (UV) irradiation on the nanocomposite films, the samples were exposed to UV light into a dark room with an UV lamp at 364 nm during 3 days according to the method described by Morales et al. [8]. The effect of the UV irradiation was evaluated by measuring the mechanical properties of the films. The identification and composition of the nanocomposite films in terms of α-CHNC and OEO are listed in Table 2 ."
4,Characterization of nanocomposite films,"2.3 Characterization of nanocomposite films 2.3.1 Physico-chemical characterization A UV–Vis spectrophotometer (Jasco V-630 UV-VIS spectrophotometer, JASCO, Germany) was used to assess the transmittance of the films. Spectra were recorded at RT in steps of 1 nm in the 400–750 nm range. The measurements were made in triplicate. The opacity of each films was determined according to the method described by Priyadarshi et al. [35]. The opacity was determined by equation (Eq. (2)): (2) O p a c i t y = A b s 600 x Where Abs 600 represents the absorbance obtained at 600 nm and x is the thickness of the film (mm). The thickness of the nanocomposite films was measured using a digital micrometer (Ultra Präzision Messzeuge GmbH, Glattbach, Germany) with an accuracy of 0.001 mm in six random different points of the each film. The average thickness was then calculated. Attenuated Total Reflection-Fourier Transform Infrared Radiation (ATR-FTIR) analysis was used to study the chemical interactions between PVA, OEO and α-CHNC using a Spectrum Two FTIR Spectrometer (Perkin Elmer Inc., Waltham, MA, USA) with a Universal Attenuated Total Reflectance accessory. The range of transmittance was between 600 and 4000 cm−1 using 64 scans and 4 cm−1 of resolution. The moisture content of the nanocomposite films was determined by adapting the method described by Ref. [18]. Prior to testing, all samples were cut in 1.5 × 3 cm2 models. Afterwards, the samples were weighed and dried at 106 °C for 24 h in an oven (Memmert UN160 plus Twindisp, Germany) to attain a constant weight. The moisture content was determined according to the following equation: (1) Moisture content ( % ) = ( W 1 − W 2 ) W 2 x 100 Where W1 is the initial weight of the sample (g) and W2 is the weigh after drying (g). Three measurements were conducted for each sample and their average was calculated. 2.3.2 Thermal stability and mechanical properties of the nanocomposite films The thermal stability of the films was determined by thermogravimetric analysis (TGA) using a TGA/SDTA 851 Mettler Toledo instrument (New Castle, DE, USA), at a scanning rate of 10 °C/min, from room temperature to 750 °C under a nitrogen atmosphere. The mechanical properties of the nanocomposite films were performed using an Instron 5967 tester (Instron, Norwood, MA, USA). A load cell of 50 N was used with a cross head speed of 3 mm/min. Eight replicates of each sample (0.5 cm × 4.5 cm, L x W) were used to determine the average values of Young's modulus, tensile strength and elastic modulus. 2.3.3 Antioxidant activity Determination of the total phenolic content (TPC) The total phenolic content of the nanocomposite films was determined according to the method described by Ruiz-Navajas et al. [3]. 25 mg of each film were cut and dissolved in 3 mL of methanol and centrifuged at 300 rpm for 12, 24, 48 and 72 h. Then, the supernatant was collected and for each extract 300μL solution was employed. Gallic acid was used as reference standard and the measurement was done at 760 nm using a UV–Vis spectrophotometer (Jasco V-630, Pfungstadt, Germany). The results were expressed as mg gallic acid equivalents (GAE)/g of dried film. Each sample was tested in triplicate."
5,"DPPH (2,2-diphenyl-1-picrylhydrazyl) radical scavenging assay","2.4 DPPH (2,2-diphenyl-1-picrylhydrazyl) radical scavenging assay The antioxidant activity of the nanocomposite films was evaluated using a free radical scavenging assay DPPH (2, 2-diphenyl-1-picrylhydrazyl) according to the method described by Gullon et al. [36] with slight modifications. 25 mg of each film were cut and dissolved in 3 mL of methanol and centrifuged at 300 rpm for 12, 24, 48 and 72 h. Then, the supernatant was collected. Afterwards, 300 μL of film extracts were mixed with 3 mL of 6 × 10−5 M methanol solution of DPPH. After 15 min, the decrease in absorbance was measured at 515 nm using a UV–Vis spectrophotometer (Jasco V-630, Pfungstadt, Germany). Trolox was applied as standard reference and the results were expressed in μmol of Trolox equivalent (TE)/g of dried film. Each sample was measured in triplicate."
6,Statistical analysis,"2.5 Statistical analysis The statistical analysis was performed using one-way analysis of variance (ANOVA) by SPSS software (Version 24, Inc. Chicago, IL, USA). The values of the significant differences were determined by Duncan's multiple range test. The experiments were carried out at least three times for each condition. The results are expressed as Mean ± SD (standar deviation) and values of p < 0.05 were considered to be statistically significant."
7,Results and discussion,
8,Physico-chemical characterization of the nanocomposite films,"3.1 Physico-chemical characterization of the nanocomposite films Our main aim in this study was to developed bioactive nanocomposite films using two different sources of alpha-chitin nanocrystals (α-CHNC) as reinforcing agents to improve the final properties of PVA and Origanum vulgare essential oil (OEO) films. Herein, we specifically focus on the effect of the different concentrations of OEO and the origin of chitin nanocrystals on the final properties of the PVA-based nanocomposite films. As a first step, we focused on the general aspect of the films and on their physicochemical characterization. Afterwards, their thermal and mechanical properties, as well as their stability against UV light and their antioxidant properties were assessed in order to evaluate their potential use for packaging-food applications. One of the most important parameters in films for food applications is their transparency because it has a direct impact on the consumer acceptance. To evaluate the impact of the incorporation of OEO and chitin nanocrystals on the transparency of the final materials, pictures were taken and the transmittance and opacity of the nanocomposite films were measured and calculated, respectively. Fig. 1 , displays the general aspect of the final films. The obtained films are homogeneous and translucent. Fig. 2 represents the transmittance (measured in the range between 400 and 750 nm) profiles of the nanocomposite films and confirms the qualitative analyse of Fig. 1. As demonstrated in Fig. 2, in the range of the visible light (400–750 nm), the highest transmittance were ascribed to the unfilled PVA film (P-0, around 90% at 600 nm) and to the films prepared with low concentrations of OEO. However, our data showed that the incorporation of high concentration of OEO (P-2) decreases the transmittance of the films. On the other hand, as expected, the addition of chitin nanocrystals decreases the transmittance of the nanocomposite films (PNCS-0 and PNCL-0), as previously demonstrated with other matrices [5,37]. Interestingly, the incorporation of OEO into the nanocomposite films showed a decrease of the transmittance of the final materials. Previous studies, have demonstrated the influence of the addition of EOs on different matrices, namely the work described by Sahraee et al. [18] and Gomes et al. [38], where the authors prepared materials using chitosan as matrix with different concentrations of essential oils; or described by Kanatt et al. [39], where chitosan and PVA were blended with plants extract. To underline these data, the opacity of the films was also calculated (equation (2), that take in account the Absorbance of the films at 600 nm and the thickness). The results are listed in Table 3 . The lowest opacity value was observed in the pure PVA film (P-0) presenting an opacity of 0.65 ± 0.01. Similar to the data obtained by Chen et al. [9], by incorporating clove essential oil or apple pomace into PVA films, the opacity of our nanocomposite films increases with the incorporation of high concentrations of OEO (P-1.5 and P-2). In addition, the addition of nanocrystals resulted in a consequent increase of the opacity of the films. No significant differences were observed between the 2 types of chitin nanocrystals: 2.16 to 2.99 and 2.43 to 2.84 for films prepared with shrimp and lobster chitin nanocrystals, respectively. Another important aspect for food-packaging materials is their water absorbance capacity, because being in contact with food can cause the damage of the product. Table 3 reports the results of the moisture content of the nanocomposite films. The data listed in Table 3 show that the incorporation of OEO decreases the moisture content of the PVA films. The lowest value of moisture content was observed for the P-2 films (5.1 ± 0.2%). Interestingly, even for the nanocomposite films that have an important amount of OH groups, the incorporation of OEO induces the decrease of moisture content. These results are attributed to the hydrophobic properties of the OEO, and good interaction between OEO, α-CHNC and PVA leaving least possibility for them to interact with water molecules [40]. In Table 4 are listed the ATR-FTIR band assignments of OEO and PVA. For instance, the OEO spectra presented a broad peak at 3397 cm−1 corresponding to the O-H stretching which was attributed to carvacrol, and the phenolic ring was assigned to the peaks between 1622 and 1424 cm−1. The peak at 941 cm−1 showed C-H bending and at 810 cm−1 revealed the characteristic peak of thymol [28,30]. Regarding the PVA, for example, the peaks at 1732 cm−1 and 1573 cm−1 were attributed to ester C=O stretching vibration and C=C stretching vibration, respectively. Other representative bands of PVA are the C-C stretching vibration at 1090 cm−1 and 1022 cm−1, and C-C and C-O stretching vibration at 843 cm−1 [30,41]. In addition, the C-H2 bending vibration and C-CH3 deformation vibration were observed at 1428 cm−1 and 1377 cm−1, respectively [8,25,42]. Fig. 3 , displays the ATR-FTIR spectra of OEO, PVA, PNCS-2 and PNCL-2. All nanocomposite films (not showed) showed characteristics bands corresponding to each component, as demonstrated with the representative examples. For instance, when compared to OEO, P-0 and P-2 spectra, the PNCS-2 and PNCL-2 spectra, showed an increase of the intensity of the band corresponding to the O-H stretching vibrations (around 3400 cm−1); of the bands corresponding to the C-H stretching (around 2950 cm−1); and of the bands at 1657 and 1620 cm−1 attributed to amide I and at 1556 cm−1, corresponding to amide II, which is due to the presence of the chitin nanocrystals."
9,Thermal and mechanical properties of the nanocomposite films,"3.2 Thermal and mechanical properties of the nanocomposite films The effect of the incorporation of chitin nanocrystals into the PVA/OEO films was evaluated in terms of thermal and mechanical properties. The TGA serves as a proof for chemical interactions and the formation of hydrogen bonds in the final materials. Fig. 4 shows the thermogravimetric analysis (TGA) and derivative (dTGA) curves of the PVA and PVA/OEO films and of the nanocomposite films. The results from TGA and dTGA, clearly showed that the PVA film displayed two-stages of degradation. A first step, with a maximum degradation at 319 °C attributed to the degradation of the amorphous parts of the polymer; and a second step at around 420 °C that corresponds to the degradation of the higher thermal stability crystalline parts. The PVA/OEO films depicted 4 degradation steps and presented lower thermal stability compared to control. The first step occurred at around 100 °C and was attributed to the loss of water; the second step was observed at 180 °C and was ascribed to the degradation of the OEO [26]. The third and fourth steps were attributed to the PVA degradation, but their maximum temperature of degradation decreased between 15 and 20 °C. Nevertheless, it was observed that the incorporation of both chitin nanocrystals showed an improvement of the thermal stability of the PVA/OEO films. This fact was attributed to the high temperature of degradation of chitin nanocrystals (around 380 °C, degradation of chitin macromolecules) and to the good homogeneity and interactions between the chitin nanocrystals and the PVA, the increasing of crystallinity of PVA molecules in the presence of the chitin nanocrystals is also a possibility. Like for PVA/OEO films, the nanocomposite's dTGA curves exhibited 4 degradation steps. However, the maximum temperature of degradation of the materials increased (for instance, 318 °C for PNCL-1 and -2, Fig. 4). The data of the mechanical properties of the nanocomposite films is summarized in Table 5 . The results showed no significant differences (p > 0.05) regarding the TS values of the unfilled PVA films (without α-CHNC) with the increasing of the concentration of OEO (P-0 to P-2). However, the TS of the nanocomposite films decreased significantly (p < 0.05) with the concentration of OEO. These results are in accordance with those obtained by Gaikwad et al. [10], in which the TS values decreased with the concentration of apple pomace in PVA films; or with Chen et al. [9] that observed a decrease in TS values in PVA films with clove oil. Nonetheless, the incorporation of the chitin nanocrystals allowed increase the TS with respect to PVA/OEO films making the nanocomposite films more resistant, as demonstrated before in other matrices [5,43,44]. As it could be seen in Table 5, like for TS, no significant differences were observed regarding Young's modulus of PVA films with the OEO concentration. However, the Young's modulus of the nanocomposite films decreased with the OEO concentration; but the incorporation of chitin nanocrystals made that the Young's modulus values are higher PVA/OEO films. Similar results were found by Ardekani et al. [30], the authors used wound dressing of PVA with Zataria multiflora oil reinforced with nanofibers of mats, and used new mats fibers consisting of blend electrospun chitosan/poly (ε-caprolactone) with oregano essential oil. On the other hand, the addition of the OEO improved the elongation (E %) of the nanocomposite films and consequently their flexibility due to the OEO plasticizing effect [9,45,46]."
