,sections,Text
0,Introduction,"Energy and environment protection are expected to remain two of the main challenges of the human life for the long-term future. Agricultural wastes have a great potential for energy production because of their non-food nature and renewability [1]. Sugarcane bagasse is an abundant source of lignocellulose [2]. Bagasse is the solid residue remaining after the process of juice extraction from sugarcane for sugar or ethanol production. Crushing of every 3 kg of sugarcane in sugar mills produces 1 kg of bagasse [3]. Currently, it is mainly used for combustion to produce heat and power required for the related sugar and ethanol factories [3] whilst it is known that with the technological improvements it is possible to supply the energy requirements of the plants with only half of the produced bagasse [4]. In Iran however, from the total annual production of 0.84 million tons of bagasse, only a small portion is being used for paper and medium-density fiberboard (MDF) production and the rest is usually disposed and causes environmental problems such as spontaneously ignition [5]. Conversion of biomass to fuel gases can reduce environmental issues [6] and progress its utilization [7]. Compared with conventional thermal gasification, supercritical water gasiﬁcation (SCWG) is characterized by its high reaction efficiency and H2 selectivity [8]. This technology benefits from the specific properties of water at supercritical conditions. With the operating temperature and pressure greater than its critical point (374 °C and 22.1 MPa for water) a ﬂuid is termed as a supercritical ﬂuid [9]. The density of water, above the critical point (0.2–0.7 g cm−3), is much lower than that at normal conditions and hydrogen bonds of water molecules are considerably weakened. The lower density leads to a decrease of the dielectric constant from 78 at normal conditions to the range of 2–20. This changes the water from a highly polar solvent at an ambient condition to a non-polar solvent, like benzene, in a supercritical condition [10]. Such conditions enhance the solubility of organic substances and depress unwanted polymerization processes [11–14]. In addition, heat transfer is fast and the water molecule is still reactive which both supports fast reaction of the solved molecules [7]. Compared to conventional gasiﬁcation, SWG is relatively efficient with no additional energy requirement for biomass drying. Lignocellulose biomass components can break down into simple molecules during SCWG to produce synthesis gas [9]. A verity of biomasses including lignocellulosic biomass from different sources such as manure [15–17], sewage sludge [18–20], food wastes [21], algae [22–24], and biorefinery residue [24] have been successfully gasiﬁed in SCW. High moisture content of sugarcane bagasse makes it suitable for conversion in SCW [1] however, only a few reports on the treatment of sugarcane bagasse are available. Osada and his co-workers studied the effect of ruthenium catalyst on the gasification of bagasse at 400 °C and compared the results with those of cellulose and lignin [25]. They reported that without a catalyst, only 11.9% of bagasse converted to the gas. Barati and co-workers investigated the use of un-promoted and zinc promoted Ru/γ-Al2O3 nanocatalysts on hydrogen yield from bagasse. They reported that the maximum hydrogen yield in their experiments was 15.6 mol kg−1 [26]. Generally, there is a lack of knowledge about the role of alkali catalyst on gas yield from sugarcane bagasse. Moreover, the potential of hydrogen production from sugarcane bagasse in supercritical is unknown. We previously reported the effect of reaction time (RT) and pressure on gas yield and composition of sugarcane bagasse [27]. We also studied the SCWG of sugarcane bagasse in the present of some alkali catalysts (K2CO3, KHCO3, NaHCO3 and NaOH) in the reaction time of 45 min and pressure of 25 MPa at 400 °C [28]. In the present project, we designed a simple 3 stage framework in order to explore the highest possible hydrogen yield from supercritical water gasification of sugarcane bagasse. In this framework different alkali catalysts (KOH, NaOH, K2CO3, KHCO3, NaHCO3), Raney Nickel and activated carbon were applied. The effect of temperature on gas yield and composition was also investigated."
1,Experimental,
2,Raw material,"2.1 Raw material Sugarcane bagasse was obtained from a sugar mill of Debal Khazae Agricultural and Industrial Company in the Khuzestan Province of Iran. All experimental studies were performed in the laboratories of IKFT 1 1 Institute of Catalysis Research (Institute für Katalyseforschung und-Technologie). at Karlsruhe Institute of Technology (KIT), Germany. The bagasse was milled and sieved to make the particle size of less than 180 μm. The K2CO3, KHCO3, Na2CO3, KOH and Raney Nickel were purchased from Merck Company (Darmstadt, Germany). The NaOH and activated carbon were purchased from VWR International Ltd. (UK) and applied in the amount of feed to catalyst (F/C) of 2. This amount of catalyst was chosen based upon literature [29–32]."
3,Experimental procedure,"2.2 Experimental procedure The experiments were done in two batch autoclave reactors made of SS316 (for 400 °C) and Inconel alloy 625 (for the temperatures more than 500 °C) with the inner diameter of 11.5 mm and outer diameter of 13 mm and a volume of 5 ml. Before each experiment, the reactor was cleaned thoroughly with acetone to remove any residuals from the prior experiments [15]. The next step was to feed the reactor a mixture of sugarcane bagasse, water, and catalyst. Feedstock was prepared by bagasse powder loading of 9 wt%. In the experiments where a catalyst was applied, the mass ratio of 2:1 of F/C was taken into account. An exception was the case of a co-loading of Raney Nickel and K2CO3 where the amount of each catalyst was only half. For the experiments at the temperature of more than 400 °C, the feeding weight was decreased proportionally to keep the pressure constant at 25 MPa according to the steam table [33]. The heating source for the later experiments was an electrical oven while a gas chromatograph (GC) oven was used for the experiments at 400 °C. The typical temperature kinetics of the inside of the reactor in either of the ovens is shown in Fig. 1 . The given reaction time does not include the heating up period. After the certain reaction time, the reactor was cooled down rapidly by putting it into an ice-water bath. The reactor was then opened and the gas was quantified volumetrically. The gas was sampled by a 100 μl syringe and injected into the GC. This was replicated for 3 times and the average was reported. Further details on experimental set up could be found elsewhere [28]."
4,Analytical procedure,"2.3 Analytical procedure Gaseous products were analyzed by two gas chromatographs; One GC specifically for hydrogen detection and the other for CO2, CO, CH4 and other hydrocarbons. The details for the two GC's could be found in [28,34]. Carbon gasification efficiency (CGE) and hydrogen gasification efficiency (HE) were defined according to the Formula (1) and (2); (1) CGE (%) = (Carbon in gas phase/carbon in feedstock) × 100 (2) HGE (%) = (Hydrogen in gas phase/hydrogen in feedstock) × 100 The amount of carbon and hydrogen in the feedstock was calculated based upon ultimate analysis."
5,Three steps framework,"2.4 Three steps framework At the first step, the effect of five alkali salts, Raney nickel, and activated carbon on gas yield and composition, carbon gasification efficiency and hydrogen gasification efficiency were investigated at 400 °C and 25 MPa and 75 min reaction time. All data from this stage were subjected to analysis of variance (ANOVA) using SAS software (SAS Institute 2002). This technique was used to test the hypothesis that signiﬁcant variation existed between different catalysts in the favor of hydrogen yield (p < 0.01). Actually, this stage determined the most effective catalyst in the favor of hydrogen. The identified catalyst was used to progress the work in the second and third stage where 8 different experiments were done separately (four experiments with the present of the identified catalyst and other without any catalyst). Temperatures of 500, 600, 700 and 800 °C were also tested. All these experiments had the same reaction time of 15 min and the same pressure of 25 MPa."
6,Results and discussions,"The composition of sugarcane bagasse was 25.7% lignin, 46.6% cellulose, and 27.9% hemicelluloses and its elementary composition was 46.4% C, 5.69% H, <1% N, and 0.09% N. The effect of catalyst on gas yield and composition is summarized in Table 1 . The hydrogen yield with catalyst is higher than the case of without catalyst; therefore every catalyst seems to catalyze the gasification. In all experiments with the present of catalyst, there was not any trace of the CO while in the absence of catalyst, the fraction of CO was as high as 6.5 percent. Without catalyst, CO can be formed as a primary product of decarbonylation of aldehydes as confirmed by [35]. As a consequence of the high water content and in the presence of a catalyst, the water-gas shift reaction (Equation (3)) leads to very low CO content in the gas. (3) CO + H2O ↔ CO2 + H2"
7,Effect of heterogeneous catalysts on gas yield and CGE,"3.1 Effect of heterogeneous catalysts on gas yield and CGE 3.1.1 Raney nickel Raney nickel which was applied in the experiment was a commercially available slurry grade and used without further treatment. The slurry contained 50 wt% of water and 50 wt% of solid catalyst. As was expected from the literature, Raney nickel directed the reactions to methane formation so as 10.11 mol kg−1 of methane was produced [36,37]. Raney nickel has a strong ability in C–C breaking [38] which results in high carbon conversion. According to [29] before biomass can be gasified using a heterogeneous catalyst, it must be decomposed into smaller molecules. Only small molecules can access the catalytically active sites. Based on the report of [39] on a nickel catalyst, the small molecules such as carboxylic acids (acetic, formic, and levulinic), aldehydes (acetaldehyde, furfural, and formaldehyde), alcohols (ethanol and methanol), and ketones (acetone) can be reformed efficiently to CO2, CO, H2, and CH4. Yu [40,41] proposed that acetic and formic acid decarboxylate directly to form CH4, CO2, and H2 through the following equations; (4) CH3COOH → CH4 + CO2 (5) HCOOH → CO2 + H2 In addition, Nickel is an effective hydrogenation catalyst. It decomposes biomass to primary CO and H2 which their reaction can form CH4: (6) CO + 3H2 ↔ CH4 + H2O During methanation (Equation (6)), surface reactions of CO and H2 lead to the hydrogenation of dissociated or molecular carbon monoxide. The rate of methanation depends directly on the hydrogen partial pressure [35] therefore, hydrogenation of carbon monoxide is a strongly inhibited reaction from a kinetics point of view. Only in the presence of an efficient hydrogenation catalyst the rather high CH4 content in gas phase, as predicted by thermodynamics at this temperature [22,42], can be reached. As could be estimated from Fig. 2 , in the presence of this catalyst, CGE is higher than that of others, but not very high per se (only 53.1%). At similar conditions (F/C = 2, T = 400 °C, P = 30 MPa and Solid content = 10%), Waldner and Vogel reported complete gasification of wood with Raney nickel as catalyst [29]. Whereas the fraction of C, N and H in wood and sugarcane bagasse is almost the same, a reason of the lower conversion in the case of bagasse could be due to the high amount of sulfur in bagasse (0.09%) which is 4.5 times more than that of wood. It has previously been confirmed that sulfur has a poisoning effect in SCWG [43]. 3.1.2 Effect of activated carbon As could be found from Table 1, in contrast with Raney nickel, the effect of activated carbon on CH4 and CO2 yield was not significant. This catalyst improved the hydrogen yield but not as much as alkali ones. Generally, it seems that activated carbon did not improve the gasification. Yamaguchi and co-workers [44] reported that in low temperature SCW, activated carbon cannot enhance the rate of gasification. Although activated carbon is known to be the best heterogeneous catalyst for high temperature SCW in terms of cost, the exact role of carbon in SCWG reactions, particularly for tar cracking and water-gas shift reactions is still unknown [38]. It has to be pointed out that the type of activated carbon used here did not gasify at reaction conditions [45]."
8,Effect of homogeneous catalysts on gas yield and CGE,"3.2 Effect of homogeneous catalysts on gas yield and CGE In contrast with Raney nickel–as were expected, alkali catalysts improved the hydrogen yield. NaOH and K2CO3 had the same yield of hydrogen (5.6 mol kg−1) which is not significantly more than the case of KHCO3 (5.3 mol kg−1) (Table 1). Generally, the CGE in the presence of alkali salts was small and the molar fraction and yield of hydrogen were improved noticeably. This indicates that the addition of alkali catalysts has a little effect on steam reforming reaction and more effect on the water-gas shift reaction [18]. According to many previously published reports, alkali catalysts degrade monomeric and dimeric carbohydrates at the temperatures of even below of 100 °C [46] and they also promote H2 and CO2 yield through water-gas shift reaction after the formation of gas [14,47–51] (Equation (5)). Formation of HCOO–K+ in the presence of an alkali promoting the water-gas shift reaction are described according to the bellow equations [52]. However, the whole reactions are not as easy as detailed studies show [53]. (7) K2CO3 + H2O → KHCO3 + KOH (8) KOH + CO → HCOOK (9) HCOOK + H2O → KHCO3 + H2 (10) 2KHCO3 → H2O + K2CO3 + CO2 In the presence of NaOH and KOH, the carbon dioxide fraction is low which resulted in a very low CGE (Fig. 2). The reason is that the added catalysts may react with the CO2 and form carbonates (Equations. (11) and (12)): (11) M2CO3 + H2O + CO2 ↔ 2MHCO3 (12) MHCO3 ↔ MOH + CO2 where M = Na and K According to Equations (11) and (12), every mol of MOH (here NaOH, or KOH) can fix up to 1 mol of CO2. Therefore, one can conclude that in the presence of these catalysts, carbon was firstly gasified to CO2 and then was captured in the aqueous phase. It is very difficult to determine how much CO2 is fixed after reaction because according the authors experience; the equilibrium did not reach even after cooling down. After cooling down to room temperature the salts show too slow reaction to lead to the equilibrium with CO2 content in the gas. To consider this, in Table 1 a calculated CO2 yield is given. This is the sum of the measured CO2 yield and the maximum of CO2 that could be adsorbed by the catalyst. The amount of absorbed CO2 was calculated based upon Equations (11) and (12) considering the amount of catalyst and feedstock we used. The calculated CO2 yield corresponds much better with the measured H2 or CH4 yield. This is because of this fact that a high gasification to H2 or CH4 leads to more CO2 production. Co-loading of Raney nickel and K2CO3 resulted in almost the same fraction of H2 and CH4. Since the amount of each catalyst was half the amount from the other experiments, it could be concluded that by a reduction of catalyst loading, the H2 and CH4 yield were likewise reduced. Among all the catalysts used, KOH was significantly more effective on hydrogen yield where 6.64 mol kg−1 was obtained (Table 1). This amount corresponds to 53% of the total produced gas. Schmieder and coworkers reported complete gasification of model and real biomass (wood sawdust) at 600 °C and 25 MPa in the presence of KOH where a H2 rich gas containing CO2 as the main carbon compound produced [54]. Here in this study, the contribution of the gas components is also free of other hydrocarbons with the exception of very small amount of ethane (0.4%). Gasification of glycerol by Guo and coworkers showed that NaOH acts better than KOH in a continuous reactor with the temperature of 526 °C and reaction time of seconds [31] which disagree with the results here. An important aspect here may be the phase behavior. On a molar base, dissolved potassium and sodium ion seems to behave similarly on the water-gas shift reaction [53]. On mass base, sodium salts should be more effective because they have a lower molecular weight. If the same mass is added, more sodium ions are in solution and more catalytic effect would be found, like found by Guo et al. [31]. Above the critical point of water, both hydroxides form a second liquid phase. Because of the existence of CO2, carbonates are formed from the hydroxides so that K2CO3 forms a liquid phase and Na2CO3 a solid phase [55]. The experiments here are made in a batch experiments and the experiments of Guo at higher temperature and in a tubular reactor. Mixing is different in the different reactor types. The combination of the different phase behavior with less mixing in the case of the batch reactor might lead to the observed effect of higher catalytic effect of KOH/KHCO3/K2CO3. From the resultant data, the effectiveness of catalysts with respect to the hydrogen yield decreases in order of KOH > NaOH = K2CO3 > KHCO3 > Raney-Ni & K2CO3 > NaHCO3 > activated carbon > Raney nickel. Therefore, the KOH catalyst was chosen for further experiments utilizing higher temperatures and a lower reaction time."
9,Effect of catalyst on heating value of produced gas,"3.3 Effect of catalyst on heating value of produced gas Fig. 3 shows the effect of catalyst type on heating value of produced gas. Gas yield in the present of Raney nickel has the highest heating value. The maximum heating value (9.35 kJ kg−1) was achieved with Raney nickel and the minimum was found in the experiment without catalyst. As was previously explained, Raney nickel directs the reaction to higher methane yields while alkali leads to more hydrogen production. In comparison with hydrogen, methane contains more heating value (889 kJ mol−1), therefore the gas with more methane fraction corresponds to higher heating value."
