,sections,Text
0,Introduction,"2-Phenylethanol (2-PE), an aromatic alcohol with a pleasant rose-like fragrance, is widely used in the cosmetic and food industries. 2-PE is traditionally extracted from rose, the yield is typically low (Etschmann et al., 2002). Nowadays, 2-PE is mostly produced by chemical synthesis, which is environmentally unfriendly and produces unwanted by-products (Xu et al., 2007). On the other hand, biotechnologically produced flavors are currently considered as natural by European and U.S. food agencies (Xu et al., 2007). Therefore, biotechnological 2-PE production is highly desirable and holds promise to be the most commercially viable route to produce 2-PE (Hua and Xu, 2011). 2-PE can be produced by yeast via the Ehrlich pathway from L-phenylalanine (L-Phe) (Hazelwood et al., 2008). There are three reactions involved in this synthetic pathway ( Fig. 1a). First, aromatic transaminase converts L-Phe to phenylpyruvate (PPA) using 2-oxoglutarate (2-OG) as an amine receptor. Second, PPA is converted to phenylacetaldehyde (PAAL) by phenylpyruvate decarboxylase (PDC). Finally, aldehyde reductase or alcohol dehydrogenase (ADH) converts PAAL to 2-PE, at the expense of the cell's reducing power. Great efforts have been made on yeast-based production of 2-PE, encompassing metabolic engineering, fermentation and process engineering, leading to the production of about 6g/L 2-PE by yeast fermentation (Eshkol et al., 2009; Etschmann and Schrader, 2006; Kim et al., 2014; Morrissey et al., 2015; Stark et al., 2002). Furthermore, since cell growth is inhibited by the accumulated 2-PE (Etschmann and Schrader, 2006), in situ product removal (ISPR) has been used to extract 2-PE in the aqueous phase to circumvent the problem of product inhibition, which is proven to be a useful approach. Extractants such as polypropylene glycol 1200 and Hytrel® 8206 were used to remove 2-PE from the fermentation broth, and 10.2–20.4g/L 2-PE was achieved in 30–36h (Etschmann and Schrader, 2006; Gao and Daugulis, 2009). However the yeast fermentation process usually takes 30–50h or even a few days, so 2-PE productivity is relatively low (Etschmann and Schrader, 2006; Mei et al., 2009). E. coli is a widely used chassis for the production of fine chemicals because it is fast-growing and easy to manipulate. However, E. coli cannot intrinsically produce 2-PE because it lacks PDC, which converts PPA to PAAL (Koma et al., 2012). By heterogeneously overexpressing PDC from Azospirillum brasilense, the engineered E. coli was able to produce 6.9mM 2-PE (Koma et al., 2012). To further improve the efficiency of the pathway, well-characterized genes encoding phenylacetaldehyde synthase and phenylacetaldehyde reductase from plants were introduced to optimize the 2-PE biosynthetic pathway in E. coli (Achmon et al., 2014; Sakai et al., 2007). The shikimic acid pathway was redesigned to increase the supply of the intermediate (PPA) and 2-PE production from glucose was improved to 2.33mM (0.285g/L) (Kang et al., 2014). Hwang et al. engineered E. coli for the whole-cell bioconversion of phenylalanine and 38mM (4.7g/L) 2-PE was produced from 100mM L-Phe (Hwang et al., 2009). However, the yield of 2-PE produced by engineered E. coli remained low. For the biosynthesis of 2-PE, 2-OG and NAD(P)H are required for the transamination and dehydrogenation reactions, respectively, the limited cofactor supply and redox imbalance remain major bottlenecks. Cofactor recycling is key not only to lower process costs, but also to drive the reaction of interest to completion. When reducing power is needed in a whole-cell biotransformation process, introducing an oxidoreductase is one solution to recycle NAD(P)H, and often leads to improved catalytic efficiency (Hummel and Groger, 2014). The enzymes most commonly exploited to recycle NAD(P)H are formate dehydrogenase and glucose dehydrogenase, which obtain reduction equivalents by oxidizing a sacrificial substrate (Kratzer et al., 2015). For example, by coupling the relevant reaction to the oxidation of formate to CO2 for NADH regeneration, o-chloroacetophenone and xylose were reduced to (S)-1-(2-chlorophenyl)-ethanol and xylitol with high yield (Eixelsberger et al., 2013; Madje et al., 2012). For 2-PE biosynthesis, glucose dehydrogenase was overexpressed in engineered E. coli for NADPH regeneration, which resulted in a 3-fold increase of 2-PE yield (4.7g/L), compared to the parent strain without glucose dehydrogenase (Hwang et al., 2009). This enzymatic approach thus offered a solution for NAD(P)H regeneration and resulted in higher yield. However, since enzyme-mediated cofactor recycling for NAD(P)H regeneration consumes a sacrificial substrate, and an additional coproduct is produced, this approach increases the complexity of product purification, and thus adds up the overall process costs. In addition, the high concentrations of sacrificial substrate or coproduct may inhibit enzyme activity. Recently, Mutti et al. developed an elegant redox self-sufficient system using alcohol and amine dehydrogenases, which operate in tandem to convert alcohols to amines with hydrogen shuttled by a nicotinamide coenzyme (Mutti et al., 2015). However, for a biosynthesis pathway consuming both cosubstrate and redox equivalents, such as 2-PE biosynthesis, the simultaneous regeneration of cosubstrate and redox equivalents remains a challenge. Metabolic engineering strategies have to be devised to generate a more efficient biocatalyst for enhanced production of 2-PE from the perspective of cofactor supply and regeneration. In this study, a heterogeneous 2-PE biosynthetic pathway was constructed in E. coli, and the pathway flux was increased by substituting key enzymes. Glutamate dehydrogenase was found to play a crucial role in cofactor regeneration and in maintaining redox balance during 2-PE biosynthesis. Therefore, we designed a “bridge” between L-Phe and 2-PE using glutamate dehydrogenase, to develop a cofactor and redox self-sufficient system for efficient 2-PE production. The system was further improved by removing the by-product NH3 to form a cleaner process. Finally, this cofactor self-sufficiency strategy was applied to the bioconversion of L-Phe into D-phenyllactic acid (D-PLA). The cofactor and redox self-sufficient strategy has the potential to enhance the production of a number of desirable chemicals with respect to cofactor regeneration and balance."
1,Materials and methods,
2,Chemicals and reagents,"2.1 Chemicals and reagents L-Phe, 2-OG, L-Glu and zeolite were purchased from Shanghai ShengGong Bio-chemical Co. Ltd. (Shanghai, China). For high-performance liquid chromatography (HPLC) analysis, standards for L-Phe, PPA, PAAL, 2-PE and D-PLA were purchased from Sigma-Aldrich (Steinheim, Germany), Hytrel® 8206 was purchased from DuPont (Delaware, USA). Restriction endonucleases, DNA polymerases, T4 DNA ligase, and Gibson kits were purchased from New England Biolabs (USA)."
3,Bacterial strains and culture conditions,"2.2 Bacterial strains and culture conditions All strains and plasmids used in this study are listed in Supplementary Table S1. P1 transduction based on Keio collection strains (Baba et al., 2006) enabled gene deletion. The mutant strains were verified by PCR and further confirmed by sequencing (Shenggong, China). E. coli strains were grown at 37°C on a shaker at 220rpm in LB (Luria–Bertani) medium with streptomycin (50μg/mL) added as required. For protein expression, overnight cultures were inoculated into an auto-induction ZYM medium (Studier, 2005) with 1% inoculum and incubated under constant shaking at 20°C (for 2-PE) or 37°C (for D-PLA) for 16h."
4,Cloning and expression,"2.3 Cloning and expression The genes encoding AbPDC, ZmPDC, PAR, PaGDH and hGDH were codon-optimized based on the E. coli codon preference; the other genes for 2-PE and D-PLA production were amplified from corresponding genomic DNA. The primers are listed in Supplementary Table S2. The PCR products were inserted into pRB1s yielding a series of pRB1s derivatives using the Gibson assembly method."
5,Bioconversion conditions,"2.4 Bioconversion conditions For 2-PE bioconversion, cells were collected after 16h culture, by centrifugation at 8000×g for 10min, washed with ice-cold 0.85% NaCl solution twice, and suspended in 200μL (OD600 = 30) reaction mixture containing 50mM L-Phe and 50mM MOPS buffer (pH = 6.5). The bioconversion reactions were performed at 30°C on a 250rpm shaker for 12h. L-Glu and zeolite were added as required. For bioconversions producing D-PLA, cells were collected and washed with ice-cold 0.85% NaCl solution twice, and suspended in 200μL (OD600 = 30) reaction mixture containing 50mM L-Phe, 50mM Tris-HCl buffer and 5mM L-Glu (pH 8.0). The bioconversion reactions were performed at 37°C on a 250rpm shaker for 1h for D-PLA production."
6,Scale-up of bioconversions,"2.5 Scale-up of bioconversions The cell culture was concentrated and suspended in 1L (OD600 = 70) of a 50mM Tris-HCl buffer (pH 6.5) with 50mM L-Phe, 20g/L zeolite and 500g Hytrel® 8206. Additional 35mM L-Phe (17.5mL of 2M L-phenylalanine sodium) was added within 1h after 6h bioconversion. The total concentration of L-Phe used in the system was 85mM. The scaled-up bioconversion was performed in a 5L fermenter at 200rpm and 30°C with a 1.0vvm air flow rate. The pH was maintained at pH 6.5."
7,Analytical methods,"2.6 Analytical methods Cell density was estimated by measuring the optical density at 600nm (OD600, 1 OD/L = 0.23g (dry cell weight)/L). The expression of recombinant enzymes was analyzed by sodium dodecyl sulfate–polyacrylamide gel electrophoresis (SDS-PAGE). The concentrations of L-Phe, PPA, PAAL, 2-PE and D-PLA were measured by HPLC (Agilent 1260 series, Hewlett–Packard) with a Waters XBridge C-18 3.5µm column (4.6*150mm). The analysis was performed at 25°C with a mobile phase comprising 30% acetonitrile in water at a flow rate of 0.5mL/min and the analytes were detected at OD210nm. The 2-PE concentration in Hytrel® 8206 was determined according to a previous study (Zaganas et al., 2013)."
8,Results,
9,Construction and optimization of the 2-PE biosynthetic pathway in E. coli,"3.1 Construction and optimization of the 2-PE biosynthetic pathway in E. coli A heterologous Ehrlich pathway was constructed for 2-PE biosynthesis in E. coli by co-overexpressing the aromatic transaminase from E. coli (TyrB, WP032305522.1), phenylpyruvate decarboxylase from S. cerevisiae (Aro10, NP 010668.3) and alcohol dehydrogenase from S. cerevisiae (ADH1, NP 014555.1) under the control of the pBAD promoter (Hazelwood et al., 2008; Hwang et al., 2009). The resulting E. coli strain BW25113 pRB1s-aro10-adh1-tyrB (designated as 31B) was used as the whole-cell biocatalyst, and 7.8mM 2-PE was obtained from 50mM L-Phe in a 12h bioconversion (Fig. S1). The overall stoichiometric equation of the reactions in this biosynthetic system is: (1) L-Phe+2-OG+NAD(P)H+H+→2-PE+L-Glu+NAD(P)++CO2 To optimize the engineered 2-PE biosynthetic pathway, the alcohol dehydrogenase ADH1 was substituted with YahK (WP 057696407.1) from E. coli (Koma et al., 2012) and Par (BAG13450.2) the phenylacetaldehyde reductase from the rose (Rosa sp.) (Chen et al., 2011). The engineered strains with Par (32B) and YahK (33B) produced 30.4mM and 29.5mM 2 -PE, respectively, which was significantly more than the strain with ADH1 (31B)(7.8mM) (Fig. 1b). For PPA decarboxylation, the indolepyruvate/phenylpyruvate decarboxylase from Azospirillum brasilense (AbPDC, WP 038529346) (Koma et al., 2012; Spaepen et al., 2007)and a PDC from Zymomonas mobilis (ZmPDC, WP 011241152.1) were tested (Chang et al., 2000). The engineered strains coexpressing TyrB and Par with different PDCs, 32B (Aro10), 34B (AbPDC) and 35B (ZmPDC) produced 30.4, 12.7 and 1.0mM 2-PE, respectively (Fig. 1c). The results showed that the engineered strain 32B which coexpressed TyrB, Aro10 and PAR was the most suitable for 2-PE production, yielding 30.4mM 2-PE at a conversion rate of 60.8mol% (Fig. S2)."
10,Glutamate dehydrogenase plays a key role in 2-PE biosynthesis,"3.2 Glutamate dehydrogenase plays a key role in 2-PE biosynthesis The production of 2-PE was significantly increased (~3.8 fold) in the engineered E coli strains expressing NADPH-dependent PAR or YahK compared with the strain with the NADH-dependent ADH1 (Fig. 1b). We speculated the cofactor preference of the reductases was responsible for the difference in 2-PE production. In E. coli, glutamate dehydrogenase (GDH) converts L-glutamate (L-Glu) and NADP+ to 2-OG and NADPH (Hudson and Daniel, 1993). We hypothesized that the NADPH-dependent glutamate dehydrogenase might play a role in 2-PE biosynthesis by coupling it to NADPH regeneration. To test this hypothesis, the glutamate dehydrogenase in the E. coli BW25113 was knocked-out, and a significant decrease of 2-PE production (7.6mM) was observed in the GDH-deficient strain E. coli ΔgdhA (32G) (Fig. 1d). When GDH was functionally complemented with EcGDH (WP 044790188.1) expression in plasmid, the production was increased 3.8- fold, and 28.9mM of 2-PE was obtained (Fig. 1d). However, when NADH-dependent ADH1 was expressed, there was no obvious difference in 2-PE production between the strains, whether gdhA was knocked-out or not (Fig. 1e). These results suggested that the NADPH-dependent glutamate dehydrogenase in E. coli, which catalyzes the conversion of L-Glu and NADP+ to 2-OG and NADPH, may help to regenerate the cosubstrate and redox equivalents in the 2-PE whole-cell transformation process."
