,sections,Text
0,Introduction,"Fabrication of biodegradable material from lignocellulose resources to substitute non-biodegradable synthetic polymers, is gaining great attention due to the growing consciousness of green environment [1]. Cotton gin trash (CGT) is a potential lignocellulose waste obtained from the ginning plants of cotton fibres [2]. It is a mixture of cotton motes (fibres entangled with immature or small seeds), burrs, sticks, leaves and other plant residues that are composed of around 42–50% of holocellulose [3]. While the annual production of cotton was less than 21 million metric tons five years ago, it has reached around 27 million metric tons, for the last couple of years [4]. This increase is directly linked to the generation of a higher CGT amount as it represents one-third weight of each cotton bale [5]. Despite the abundance of natural lignocellulose, these are difficult to dissolve or melt in a common solvent system due to their strong intermolecular bonding among cellulose, hemicellulose and lignin [6]. Therefore, the addition of synthetic polymers is often considered to transform these into an anticipated form or film. Since these materials are significant mainly due to their environmentally friendly nature, to prepare a completely green material, uses of the biodegradable synthetic polymer are more desirable rather than the non-biodegradable. In this context, poly(vinyl alcohol) (PVA) is a great low-cost choice as it is well known for its biodegradability, thermal and chemical stability, and film-forming property. The hydrophilic character and presence of hydroxyl (–OH) groups in PVA are well-matched with carbohydrates producing good compatibility in the composite [6,7]. Materials produced from PVA combining lignocellulose resources (such as CGT), are likely to be recyclable and biodegradable, reducing the impact of plastic contamination in the ecosystem. However, the characteristic of CGT is not completely identical compared to most of the agro-wastes due to the bimodal particle size distribution usually not found in other common natural resources [2]. Though PVA was previously combined with different lignocellulose, such as wheat straw and barley husk for composite production, conception of CGT/PVA composite is very new [2,8–10]. Earlier, CGT was used in a few composite applications, e.g., with low-density polyethylene, high-density polyethylene, poly(lactic acid) and polypropylene, mainly in its coarse form of powder (particle size ≥ 150 μm) [11–14]. The first use of CGT powder in its fine form i.e., d(0.5) = 6.24 μm, was reported recently by our case study with PVA (also the first case of a CGT/PVA composite), though the physicochemical properties were not stated [2]. Following that, a very recent study reported the mechanical properties of CGT/PVA composite based on the coarse form of CGT powder (particle size ˂ 150 μm) [15]. The particle size of the reinforcing material has a key influence on some major properties of composites, such as morphology, tensile strength and thermal properties [16,17]. However, the influence of the fine powder of CGT in composite properties is yet unrevealed. Besides, there is no such study of CGT/PVA composite addressing the effect of both coarse and fine CGT powder on the composite properties. Therefore, the prime objective of this study is to obtain a better understanding of the impact of CGT particle size on the properties of CGT/PVA composite, and the interrelations among its physicochemical characteristics. To achieve this, CGT was first converted into the coarse and fine powders (particles) and CGT/PVA composite plastics were prepared using both powders. Further, the morphology, chemical structure, crystallinity, thermal stability, optical transmittance, tensile properties, moisture content and biodegradation of the films were investigated."
1,Experimental,
2,Materials,"2.1 Materials Cotton gin trash used in this study was collected from the cotton ginning facility of Commonwealth Scientific and Industrial Research Organisation (CSIRO), Geelong Waurn Ponds Campus, Australia. Polyvinyl alcohol (5% w/w) dissolved in deionized (DI) water was purchased from Flew Solutions Australia Pty Ltd., Australia. The degree of hydrolysis of the PVA used in the solution was 86–90% mol and the molecular weight of PVA was ~100,000."
3,Fabrication of powder from CGT,"2.2 Fabrication of powder from CGT The coarse CGT powder was fabricated by cutting CGT using a Pulverisette 19 rotary cutter mill (Fritsch GmbH, Germany) [18]. The fine powder was obtained by milling the coarse powder in S/1 attritor mill (Union Process, USA) at 280 rpm for 4 h following the parameters in our earlier study [2]. The slurry collected, after the milling, was dried to get the fine CGT powder in a B-290 mini spray dryer (Buchi Labortechnik AG, Switzerland) maintaining 180 °C inlet air temperature, 100 °C outlet air temperature and 10 ml/min flow rate [18]."
4,Fabrication of film,"2.3 Fabrication of film The CGT/PVA composite films were prepared with a 50/50 weight ratio of CGT powder and the amount of PVA dissolved in solution. The composite film was prepared at a higher ratio of CGT/PVA such as 60/40, resulting in a brittle film. Therefore, the highest possible amount of CGT (50%) was chosen to retain the flexibility in the final film as shown in Fig. 1 . The CGT powder was added to the PVA solution and stirred for 1 h at 80 °C to get a finely dispersed mixture. The dispersed mixture was temperature-dependent and achieved more rapidly with a higher temperature. In this study, the moderate temperature (80 °C) was selected to produce the mixture in a reasonable time (1 h). The dispersion was then poured on a polystyrene dish and kept overnight in a fume hood to evaporate water and shape the film. The dry film (Fig. 1) was then peeled off from the substrate and taken for investigation. A pure PVA film was also prepared by the same technique using the PVA solution only. The composite films prepared from coarse CGT powder and fine CGT powder were named as CPVA and FPVA, respectively. The thickness of all the films was kept similar and around 90 ± 10 μm by controlling the amount of solutions poured into the dish. Since this study is an extended work from our previous report, the method of film fabrication was kept similar to that of our previous study [2]. However, to enhance the process efficiency, more advanced techniques for composite preparation, such as hot pressing and extrusion are under consideration and could be used in future works."
5,Characterization,"2.4 Characterization 2.4.1 Particle size The particle size of CGT powders was measured using Mastersizer 2000 particle size analyser (Malvern, USA) accompanied by a Hydro 2000S dispersion unit. The refractive index of CGT was considered to be 1.53 following the previous report [2]. Powders were dispersed in Deionized (DI) water before the test and the mean value of 3 measurements was reported. 2.4.2 Morphology The morphology of the samples was observed by a Supra 55 VP (Zeiss, Germany) scanning electron microscope (SEM) using 3 kV accelerating voltage. Samples were gold sputter-coated in an EM ACE600 sputter coater (Leica, Australia) prior to the imaging. 2.4.3 Chemical structure The Fourier-transform infrared spectroscopy (FTIR) spectra of all the samples were investigated with Attenuated Total Reflectance (ATR) mode using a Vertex 70 spectrometer (Bruker, Germany). The experiment was conducted from 600 cm−1 to 4000 cm−1 wavenumbers at 4 cm−1 scan resolution and 32 scans/sample, maintaining a N2 atmosphere. 2.4.4 Crystallinity The crystallinity of PVA in all the films was measured using both X-ray diffraction (XRD) and FTIR techniques. The XRD patterns of the samples were obtained by an X'Pert Powder instrument (PANalytical, Netherlands) operated at 40 kV and 30 mA, maintaining 0.013° step size and 200 s/steps from 15° to 25° of 2-theta. The XRD peak deconvolution was performed by using the Gaussian function in Origin 2019. The crystallinity index (CI) was calculated by Eq. (1): (1) CI = A c A c + A a × 100 where A c is the area of the crystalline region, and A a is the area of the amorphous region. Each sample was tested three times, and the average and standard deviation values were reported. The proposed method of Tretinnikov and Zagorskaya was used [19] to measure the crystallinity by using FTIR technique. The CI was calculated considering the relationship between the intensity of the crystalline band at 1144 cm−1 normalised to CO stretching at 1094 cm−1 using Eq. (2). (2) CI = − 13.1 + 89.5 A 1144 A 1094 where A 1144 and A 1094 are the intensities at 1144 cm−1 and 1094 cm−1 wavenumbers, respectively. 2.4.5 Optical transmittance The optical transmittance of the samples was measured in the transmittance mode using a Cary 5000 UV–Vis-NIR spectrophotometer (Varian, Australia). Data were collected as a percentage of transmitted light from 800 nm to 200 nm wavelength. The UV protection factor (UPF) of the film samples was measured using the YG902 UPF and UV penetration/projection measurement system (Fangyuan Instrument, China). 2.4.6 Tensile strength, elongation at break and folding endurance The tensile strength and elongation at break of the film samples were measured at 5 mm/min constant rate of elongation using a universal tensile testing system (Instron 5967, USA) fitted with a 100 N load cell. The gauge size of the specimens was 25 mm × 6 mm and five specimens from each film were tested, while the average and standard deviation values were reported. The actual thickness of each film was used during the calculation of tensile strength, to avoid the influence of thickness variation in results. The folding endurance was evaluated by repeatedly folding strips from each film at the same point up to 200 times or until it breaks [20]. Three specimens of each film were tested, and average and standard deviation values were reported. 2.4.7 Moisture content The moisture content (MC) of CGT coarse and fine powders, and the fabricated films were measured following ASTM D1576–13 method [2]. All the samples were conditioned at 20 °C ± 2 °C and 62% ± 2% relative humidity for 2 days prior to drying at 110 °C in an oven for 4 h. The conditioned weight and dried weight of the samples were used to calculate MC% by the following Eq. (3): (3) MC = W c − W d W c × 100 where W c and W d are the conditioned weight and dried weight, respectively. Each sample was tested three times, and average and standard deviation values were reported. 2.4.8 Thermal degradation The thermogravimetric analysis (TGA) of the powders and films was conducted using TGA Q50 (TA Instruments, USA) in a N2 atmosphere. The percentage loss of weight of the samples was observed from 30 °C to 500 °C temperature maintaining a heating rate of 20 °C/min. 2.4.9 Biodegradation The weight loss due to biodegradation of the films was determined by using a similar method reported in the earlier study [5]. The film was cut into rectangular shapes and buried in Australian standard low-density soil (AS 4419) in a container. The container was kept inside an incubator maintaining 30 °C temperature for 30 days. Since the container was not airtight, water was sprayed into the containers every 10 days to make up the gradual water evaporation. The samples were taken out, cleaned and weighed every 5 days to calculate the weight loss (%) by the degradation. It should be noted that initially, a total of 6 samples of each film were buried, and every time (every 5 days) one of the samples was weighed, so that the biodegradation does not get interrupted by the cleaning and weighing process."
6,Statistical analyses,"2.5 Statistical analyses The statistical significance of the data was measured by performing a two-tailed t-test between the datasets. The calculated probability, p values were derived where p ≤ 0.05 denotes a significant difference, and p > 0.05 denotes no significant differences between the datasets."
7,Results and discussions,
8,Particle size,"3.1 Particle size The volume-based particle size distribution of CGT coarse and fine powder is shown in Fig. 2 . The distribution of coarse powder showed a shoulder with the main curve indicating the presence of a significant volume of smaller particles along with the larger particles in the powder. The particles containing different structures (linters, burrs, broken leaves, dust and inorganic materials) were affected differently by the milling process and resulted in a bimodal distribution for the CGT fine powder, which was similar to the earlier CGT study [2]. Fig. 2 also demonstrates d(0.1), d(0.5) and d(0.9) values of CGT powders which consist of 10%, 50% and 90% of the particles smaller than the presented size, respectively. The d(0.5) of CGT powder reduced from around 144 μm to around 5.7 μm over 4 h attrition. As confirmed by the bimodal distribution stated above, around 10% of the fine powder was found to be less than 0.69 μm in size."
9,Morphology,"3.2 Morphology The morphology of CGT powders and fabricated films is shown in Fig. 3 . The ribbon-shaped cotton fibres were seen in the CGT coarse powder along with other random shape particles with rough surfaces (Fig. 3a). The CGT fine powder collected after attrition was also found in different sizes (Fig. 3b). However, the differences observed in sizes were much lower compared to the coarse powder as the number of smaller particles increased, and larger particles decreased with the attrition. As a result, the cotton fibres were not distinguishable in the fine powder, broken into smaller sizes. The shapes of the CGT fine powder particles also became similar by the attrition which was not observed in coarse powder. The structure of CGT coarse and fine powders directly affected the morphology of the composite films prepared from these powders. The presence of CGT particles was evident in the films (Fig. 3d and Fig. 3e) when compared to the PVA film (Fig. 3c) which showed a very smooth surface. The ribbon-shaped fibres were also seen on the surface of CPVA film which produced rougher areas. Due to the presence of large and uneven CGT particles in CPVA, the distribution was non-uniform and there were more open spaces produced on the surface (observed by the scale provided in the SEM images). However, as the FPVA film was prepared from the fine and more even particles of CGT, the distribution of these particles all over the film was more uniform compared to the CPVA film. The digital image as shown in Fig. 1 (a1 and b1) also confirmed the uniformity of the films, where the CPVA showed more PVA areas (white background), whereas FPVA showed an evenly brown coloured film. However, due to the particles size, the letters in the background of CPVA became indistinguishable, yet completely readable through the FPVA film (Fig. 1)."
