,sections,Text
0,Introduction,"Curcumin (Cur) is a natural lipophilic polyphenol derived from the rhizome of turmeric (Curcuma longa). It is generally used in food industry as a distinctive food additive and spice. Recent studies have found that it plays a key role in the prevention and treatment of neurological and chronic diseases (Anand et al., 2007; Rauf et al., 2018). Curcumin is recognized as GRAS (Generally Recognized as Safe) and has low toxicity of natural bioactive compound with health benefits and biological activity, an ideal biomaterial widely used in functional foods and drugs. Curcumin exhibits a series of biological and pharmacological therapeutic potentials owing to its anti-inflammatory, antioxidant, anti-cancer effects, immune regulation and neuroprotection. Curcumin derived from natural plants is considered as a safe and without side effect potential drug and nutritional enhancer (Farooqui and Farooqui, 2019). Nevertheless, hydrophobic bioactive compounds have low-water solubility, highly sensitive to environmental changes, poor bioavailability, which limits the application of Cur. Currently, constructing nanocarrier delivery system has proven to be an effective way to encapsulate and protect Cur to improve the bioavailability of unstable bioactives. Generally, Cur is encapsulated in nanoparticles of different biopolymers, namely yeast microcarriers, nano-emulsions-filled alginate hydrogel beads, bacterial cellulose hydrogels, polycaprolactone-grafted oligocarrageenan nano-micelles, solid lipid nanoparticles and liposomes (Young and Nitin, 2019, Xu et al., 2019; Gupta et al., 2019; Youssouf et al., 2019; Xue et al., 2018). The different types of food-grade nanoparticles mainly include biopolymers, lipids, surfactants and minerals. The manufacture of nanoparticles can improve the physico-chemical stability and bioavailability of the encapsulated biologically active compounds, can control the later effective release in different biological environments, and avoid the burst releasing effects (Joye and Julian McClements, 2014). Food-grade protein nanoparticles in biopolymers have better bioavailability and functional properties for entrapped curcumin. Therefore, the protein-based nanoparticle delivery systems have been extensively used in capturing curcumin (Sadeghi et al., 2014). Due to the unique solubility of zein, it is widely used in the manufacture of nanoparticles to encapsulate lipophilic bioactive compounds, such as resveratrol, quercetin, lutein, β-carotene, tocopherol, cranberry procyanidins, paclitaxel, eugenol, etc. (Pauluk et al., 2019; Penalva et al., 2017; Cheng et al., 2019; Wang et al., 2018; Li et al., 2018; Zou et al., 2012; Veneranda et al., 2018). Zein-NaCas has been proven to enhance the dispersion, the stability and to prevent the aggregation and precipitation of nanoparticles (Li et al., 2012). Owing to zein of hydrophobic amino acid residues in a high proportion, the anti-solvent method can be used to prepare zein nanoparticles. Aqueous ethanol as solvent required for producing the composite nanoparticles, its utilization in special food industries is restricted because of its hazardous effects. Various factors in the process can affect its particle characteristics by using ethanol, such as the particle size of the prepared nanoparticles which is affected by the anti-solvent. In addition, in order to remove ethanol, the rotary evaporation process is relatively cumbersome, which increases the production cost and is not conducive to the industrial production process. The pH cycle driving method avoids the use of ethanol, however, it requires an accurate adjustment of pH, using a large number of acid-base solutions. The adjustment method is a dynamic process having many influencing factors. Therefore, in order to remove the restrictions on the application of alcohol in the anti-solvent in special foods, 1,2-Propanediol is used as a solvent instead of ethanol (Chen & Zhong, 2015). 1,2-Propanediol is broadly utilized in the pharmaceutical and food industry. Its low liquefying point and non-poisonousness characteristics permit 1,2-Propanediol to be utilized as a deicing agent and coolant, and it is perceived as a safe (GRAS) ingredient. 1,2-Propanediol is normally utilized as a co-dissolvable for hydrophobic bioactive compounds in pharmaceutical and food formulations. Ultrasound which was regarded as an emerging non-thermal technology, has been widely used in modulating structure of protein (Xu, Ren, et al., 2020; Xu ＆ Yuan et al., 2020). The multiple effects of ultrasound can induce proteins to expose the high-level internal structure and then change the conformation. The cavitation effect of ultrasound can obtain nanoparticles with a high yield in a short time, and improve the functional properties of nanoparticles (Feng et al., 2019). According to previous studies, it has been confirmed that ultrasound-assisted dialysis can be beneficial to the formation of nanoparticles, however, there is no relevant information about the use of multi-frequency ultrasound-assisted dialysis to encapsulate Cur on Zein-NaCas composite nanoparticles (Liu et al., 2016). Multi-frequency ultrasound-assisted dialysis is a new method for preparing zein nanoparticles which is conducive to the production of zein nanoparticles with ideal particle characteristics and high loading efficiency. This study was designed to develop an approach to overcome the drawbacks of using ethanol in zein nanoparticle synthesis and surmount the disadvantage of using the pH cycle driving method (use of large amounts of acid-base solutions). In addition, when removing solvents, two-phase physical driving forces (ultrasound and concentration difference) are used to promote the formation of uniform and stable nanoparticles with smaller sizes. Furthermore, the multi-frequency ultrasonic assisted dialysis method avoids the use of acid-base solutions, the reaction process is liable to control, and ideal nanoparticles can be prepared. Therefore, the effect of ultrasonic treatment with different combination frequencies on the properties of nanoparticles were investigated, and optimum combination frequency was selected to encapsulate Cur. In addition, the particle properties of nanoparticles (the particle size, zeta potential, PDI), microscopic morphology and intermolecular interactions of nanoparticles were studied. The storage stability and thermal stability, encapsulation efficiency and antioxidant activity of the hybrid nanoparticles were analyzed. Moreover, the Cur releasing behavior when the composite nanoparticles subjected to simulated gastrointestinal digestion was determined."
1,Materials and methods,
2,Materials,"2.1 Materials Zein was acquired from Sigma Chemical Co. (St. Louis, MO, USA). Cur was purchased from China National Medicine Group Shanghai Corporation (Shanghai, China). 1,2-Propanediol and Casein sodium salt were obtained from Sino-Pharm Chemical Reagent Co, Ltd. (Shanghai, China). Dialysis bags (3500D) were purchased from Beijing Solarbio Science & Technology Co., Ltd (China). All other chemicals were of analytical grade."
3,Preparation and characterization of nanoparticles,"2.2 Preparation and characterization of nanoparticles 2.2.1 Zein nanoparticles and Zein-NaCas binary nanoparticles prepared by alcohol-free, multi-frequency ultrasound-assisted dialysis Mass portions of 1% zein and sodium caseinate were added to 80% 1,2-Propanediol aqueous solution (v/v). The solution was stirred for 30 min using a magnetic stirrer, followed by centrifugation (5000 rpm, 10 min) to remove residual large particles. The remaining solution was the binary mixed solution of zein and sodium caseinate which was put into a dialysis bag with a length of 45 cm, and introduced into a container full of distilled water. The ratio of binary mixed solution to deionized water was 1:20 (the volume of the binary mixed solution was 20 mL, and the volume of deionized water was 400 mL). The material container was put into an ultrasonic bath reactor, working at different frequency modes (single frequency: 20, 28 and 40 kHz; dual frequency: 20/28 kHz, 28/40 kHz, 20/40 kHz; tri-frequency: 20/28/40 kHz) and a power of 300 W. The ultrasonic continuous processing of the sample was performed at 25 °C for 10 min. After sonication, the dialysis bag was taken out, a certain volume of deionized water was re-added for dialysis at room temperature. After the dialysis, a colloidal dispersion was obtained, which was zein composite nanoparticles. One part of the colloidal solution was stored at 4 °C, and the other part was vacuum freeze-dried for 48 h. Zein composite nanoparticle samples were named 20-ZN, 28-ZN, 40-ZN, 20-28-ZN, 28-40-ZN, 20-40-ZN, 20-28-40-ZN, which corresponded respectively to the different frequency modes 20, 28 and 40 kHz, 20/28 kHz, 28/40 kHz, 20/40 kHz and 20/28/40 kHz. The untreated sample was named ZN. 2.2.2 Particle size, polydispersity index (PDI), Zeta potential and turbidity measurements The judgment of particle size, PDI and zeta potential of the zein hybrid nanoparticles were measured by an Anton Paar instrument (Anton Paar Litesizer TM 500, Austria) at 25 °C. All measurements were performed three times and the results were averaged. The turbidity of the sample was determined at 500 nm by a UV–vis ultraviolet–visible spectrophotometer. All measurements were taken three times at room temperature and the results were averaged. 2.2.3 Fluorescence spectrum analysis Fluorescence spectrum analysis was performed by using a Card-F98 fluorescence spectrophotometer. The wavelength was set to 280 nm to excite the amino acid residues of zein, and the collection range was from 290 to 450 nm. The scanning is performed at a speed of 1000 nm/min, a scanning interval of 1 nm, an excitation bandwidth of 10 nm, and an emission bandwidth of 5 nm. 2.2.4 Fourier transform infrared spectroscopy (FT-IR) The freeze-dried nanoparticle samples and potassium bromide were ground into a powder and pressed into a transparent sheet, and then scanned at a wavelength range 4000–400 cm−1 using a FTIR spectrometer (Nicolet IS 50, New York, USA). The infrared spectrum was set to collect 64 scans to obtain the average value, while subtracting the spectrum of the blank sample. 2.2.5 Circular dichroism (CD) The Circular dichroism spectroscopy was used to measure the alterations of the zein composite colloidal solution in the secondary structure. The CD spectra were scanned in a wavelength range of 190–250 nm by using a Jasco J-815 103 circular dichroism spectropolarimeter (JASCO Corp., Tokyo, Japan). Scanning conditions were: spectral resolution = 0.5 nm; speed = 60 nm/min; response = 0.25 s and 1 s. 2.2.6 Storage stability The fresh nanoparticle emulsion was stored in a refrigerator at 4 °C for 30 days. The particle size, potential, and PDI were measured on day one and day 30 to characterize the storage stability of the samples after ultrasonic treatment. 2.2.7 Atomic Force microscopy (AFM) 30 μL of the colloidal solution of zein nanoparticles was deposited onto a freshly cleaved mica and dried overnight at room temperature (25 °C). The suitable atomic force microscope mode of operation was arranged for the maize prolamin solution sample to capture the nanoparticles morphology (Bruker Inc., Billerica, MA, USA). All the images were scanned using ScanAsyst in air mode and a Silicon nitride probe."
4,Preparation of nanoparticles encapsulating curcumin,"2.3 Preparation of nanoparticles encapsulating curcumin 2.3.1 Preparation of Zein-NaCas-Cur ternary nanoparticles by ultrasound with optimal combination frequency Different mass proportions of 1% zein and sodium caseinate were weighed and added to different masses of Cur, so that the mass ratio of Zein: Cur was 40:1, 20:1, 10:1, 5:1, 4:1. The mixtures were then added to 80% 1,2-Propanediol aqueous solution (v/v), stirred with a magnetic stirrer for 30 min, followed by centrifugation (5000 rpm, 10 min) to eliminate residual large particles. The ternary mixed solution of Zein-sodium caseinate-Cur was put into a dialysis bag with a length of 45 cm. The dialysis bag was sealed and put in the material container, and deionized water was added to the container. The ratio of the binary mixed solution to deionized water was 1:20. The material container was placed in the ultrasonic bath reactor. Then, sonication was conducted by using the continuous ultrasonic processing (20/40 kHz, 300 W, 25 °C, 10 min). After sonication, the dialysis bag was taken out, an equal volume of deionized water was added, and dialysis was performed at room temperature. After the dialysis, a colloidal dispersion was obtained, which was Zein-Cur composite nanoparticle colloidal dispersion. One part of the colloidal solution was stored at 4 °C for fluorescence spectroscopy, turbidity, and particle size potential measurements, and the other part was freeze-dried for 48 h for solid sample characterization. Zein: Cur nanoparticle samples with different mass ratios were named Zein: Cur = 40:1, 20:1, 10:1, 5:1, 4:1. 2.3.2 Encapsulation efficiency (EE) and loading content (LC) determination A sample of Zein:Cur colloidal dispersion was diluted with 80% 1,2-Propanediol aqueous solution (v/v), and then centrifuged (5000 rpm, 10 min) to obtain the supernatant which contained free Cur. The absorbance of the supernatant was read at 426 nm using a UV–vis ultraviolet–visible spectrophotometer. To determine the content of free Cur in the supernatant, Cur dissolved in an 80% 1,2-Propanediol aqueous solution (v/v) was used to establish a standard curve. After calculating the encapsulated Cur, the EE and LC of Cur were obtained by following formula. (1) E E ( % ) = c u r c u m i n e n c a p s u l a t e d i n n a n o p a r t i c l e s t o t a l w e i g h t o f c u r c u m i n × 100 % (2) L C ( % ) = c u r c u m i n e n c a p s u l a t e d i n n a n o p a r t i c l e s t o t a l w e i g h t o f n a n o p a r t i c l e s × 100 % 2.3.3 Thermal stability The fresh ternary mixed solution of Zein-NaCas-Cur was incubated in a water bath in the dark at 75 °C, 85 °C and 95 °C for 30 min, and then cooling to room temperature, the mixed solution was measured at 426 nm using a UV–vis ultraviolet–visible spectrophotometer. To investigate the stability of ternary nanoparticles with ultrasonic treatment, the alteration in the Cur content of the mixed solution at different temperatures was calculated. 2.3.4 Antioxidant capacity 2 mL of the zein nanoparticle colloidal solution encapsulating Cur was mixed with 2 mL of a DPPH(1,1-diphenyl-2-picrylhydrazyl)-ethanol solution. The mixture was kept in the dark at room temperature for 30 min. The absorbance of the sample mixture (AS), ethanol solution (Ar), the mixed solution of deionized water and DPPH + ethanol (A0) was measured at 517 nm by using a UV–visible spectrophotometer. The DPPH free radical scavenging activity of the curcumin-encapsulated nanoparticles was calculated using the following equation. (3) D P P H s c a v e n g i n g a b i l i t y ( % ) ＝ ( 1 − A S − A r A 0 ) × 100 % 2.3.5 X-ray diffraction (XRD) Crystal diffraction pattern of composite nanoparticles and curcumin was measured from a XRD instrument (D8 ADVANCE, BRUKER, Germany). The recording range of the scanning diffraction angle (2θ) was from 5° to 50° at a scanning speed of 5°/min. 2.3.6 Scanning electron microscopy (SEM) The uniformly dispersed nanoparticle powder was placed thinly on a conductive table soaked with conductive glue for gold sputtering pretreatment. Morphological characterization of nanoparticles was captured by a JSM-7001F scanning electron microscope (Japan Electronics Corporation, Japan) under 10 kV accelerating voltage. 2.3.7 Simulated gastrointestinal digestion To evaluate the release of free curcumin in the simulated sub gastrointestinal (SGI), nanoparticles with a mass ratio of 5:1 were prepared under ultrasonic treatment as described previously by Liang et al. (2021) with some modifications. In brief, 30 mL of freshly prepared composite nanoparticle dispersion was mixed with 30 mL of simulated gastric fluid (SGF, 3.2 mg/mL pepsin, 2.0 mg/mL NaCl, pH = 1.2), and the pH of the mixed solution was adjusted to 2. The mixture was heated in a constant temperature shaker (37 °C, 100 rpm) for 90 min, and the sample was collected (2 mL) at 30 min, 60 min, and 90 min, respectively. An equal amount of SGF was added to the samples. After sampling, 0.3 M NaOH was added to terminate the pepsin hydrolysis. After the simulated gastric digestion, the pH of the mixed solution with a total volume of 60 mL was adjusted to 7.5 and then mixed with 60 mL of simulated intestinal fluid (SIF, 2 mg/mL pancreatin, 12 mg/mL porcine bile salt, 6.8 mg/mL K2HPO4, 8.8 mg/mL NaCl, pH = 7.5). It was further mixed for 150 min at 37 °C with continuous shaking. The sample was taken out every 30 min, and an equal volume of SIF was added into it followed by heating at 90 °C for 5 min to deactivate the digestive enzymes in pancreatin. The procedure was followed in accordance with section 2.3.2."
5,Statistical analysis,"2.4 Statistical analysis Before determining particle characteristics, the sample was diluted with deionized water to achieve a clear state visible to the naked eye, and to avoid multiple scattering during measurements that can be caused by particle aggregation. All experiments were performed at least three times and the obtained data presented as the mean ± SD. Significant differences between samples were analyzed using the one-way analysis of variance (ANOVA) procedure (p < 0.05) by applying SPSS 22.0 software (SPSS Inc., USA)."
6,Results and discussion,
7,"Zein nanoparticles, Zein-NaCas binary nanoparticles size, zeta potential, PDI, storage stability","3.1 Zein nanoparticles, Zein-NaCas binary nanoparticles size, zeta potential, PDI, storage stability The zein nanoparticles with uniform size distribution were prepared by Alcohol-free multi-frequency ultrasound-assisted dialysis method with the help of two-phase physical driving force (ultrasound and concentration difference), as shown in Fig. 1 . The size of single zein after ultrasonic treatment was significantly reduced, and the size distribution was uniform. However, the size of the nanoparticles without ultrasonic treatment and size distribution was generally large. Therefore, the nanoparticles after ultrasonic treatment have obtained noticeable beneficial effects. For a single zein nanoparticle (Fig. 1A), the ultrasonically treated samples reached nanoparticle sizes of 20-Z, 28-Z, 40-Z, 20-28-Z, 28-40-Z, 20-40-Z, and 20-28-40-Z were 258.09 ± 6.88 nm, 248.2 ± 8.59 nm, 267.98 ± 10.51 nm, 284.62 ± 9.83 nm, 251.45 ± 10.85 nm, 228.21 ± 11.34 nm, and 240.75 ± 8.64 nm, respectively. In comparison, the untreated sample achieved a size of 327.23 ± 10.56 nm (Leong et al., 2017). Ultrasound treatment using different combined frequencies results in smaller nanoparticle sizes than the untreated sample, which conformed to food applications. Among the used ultrasound treatments, 20/40 kHz treatment led to minimal nanoparticle size (228.21 ± 11.34 nm), indicating its superiority over other ultrasound combined frequency modes. For binary zein nanoparticles (Fig. 1B), the untreated nanoparticles' size was 256.62 ± 2.78 nm, while the binary nanoparticle samples of 20-ZN, 28-ZN, 40-ZN, 20–28 -ZN, 28-40-ZN, 20-40-ZN, and 20-28-40-ZN, after ultrasonic treatment, attained particle diameters of 239.9 ± 3.57 nm, 239.35 ± 2.44 nm, 231.2 ± 2.8 nm, 242.92 ± 1.28 nm, 236.62 ± 3.26 nm, 225.94 ± 3.84 nm, and 239.09 ± 3.11 nm, respectively. 20/40 kHz was the best ultrasonic processing frequency which was compatible with the single nanoparticle's optimum performance. It might be that nanoparticles had different sensitivities to multi-frequency ultrasound, and 20/40 kHz as a suitable combined frequency that produced superposition of ultrasonic effects and improved the particle characteristics of nanoparticles. The single or triple frequency could not show the best frequency. The superiority was consistent with previous research (Yang et al., 2020). Compared with binary nanoparticles after ultrasonic treatment, the particle size of the added NaCas was significantly reduced, indicating that ultrasound helped in the formation of small-size nanoparticles. This suggested that the cavitation, thermal and mechanical effects of ultrasound have a role in lowering the nanoparticle size, by opening the spiral structure of zein. Thus, the biphasic physical driving force facilitated mass transfer and the self-assembly mechanism of the protein as the concentration differential in the solution varies during the dialysis process. Thereby, solidified nano-spherical particles with small size and uniform distribution will be formed. In the case of the binary nanoparticles, ultrasonic variations and different concentrations allowed the incorporation of NaCas to zein. The delivery system constructed by nanoparticles was further applied. A single nanoparticle's potential prepared by combined frequency ultrasound-assisted dialysis is - 9.68 ± 1.01 mv (Fig. 1E), probably due to the change in the protein surface-charge caused by the amino acid changes occurred during the protein self-assembly process. The particles after ultrasonic treatment, using different combinations of frequencies, showed a negative decrease in the overall delivery potential, demonstrating that ultrasonic can effectively protect nanoparticles' stability by increasing the electrostatic repulsion between nanoparticles, Zhang et al., 2018.reported that ultrasound caused a sharp decrease in the particle size of soy peptide aggregations. The attachment of NaCas to binary nanoparticles rendered the whole delivery system feasible to around 30 mv (Fig. 1F), demonstrating that NaCas was effectively connected to the zein surface and that the potential of the nano-particles after ultrasound treatment has not significantly improved. Food improves storage stability, can further broaden the scope of application and increase the commercial value. Therefore, it was necessary to determine the apparent morphology of nanoparticles stored for 30 days under the combined action of ultrasound and dialysis. After 30 days of storage, the size, potential and PDI of the nanoparticles were measured again, and the results measured under 4 °C storage conditions were shown in Fig.1CD. The particle size of the untreated single nanoparticle sample increased to 395.79 ± 5.96 nm after 30-day storage (Fig. 1C). After ultrasound treatment, sample size has been increased, but the rise was small. The increase of nanoparticles after storage was also confirmed by an increase in potential, due to the weakening of electrostatic repulsive force between nanoparticles related to the extended storage period and the particle clumping and agglomeration phenomenon. As the potential augmented, the adhesion force between the nanoparticles increased, the electrostatic interaction weakened, and the particle's physical storage stability decreased (Liu et al., 2021). For binary nanoparticles, after adding the stabilizer NaCas, the particle size of the sample without ultrasonic treatment increases to 270.37 ± 2.65 nm after storage for 30 days (Fig. 1D). The nanoparticle sizes did slightly increase after ultrasonic treatment, though smaller than single nanoparticle sizes. The changing trend of the binary nanoparticle potential after ultrasonic treatment was consistent with the particle size, and the reduction degree was lower than that of a single nanoparticle. It showed that the ultrasonic treatment and the stabilizer have a synergistic effect, as seen in the improvement of the stability of the nanoparticles, which is beneficial to the further application of the nanoparticles."
8,Fluorescence spectroscopy,"3.2 Fluorescence spectroscopy Fluorescence is a fast and effective method commonly used to analyze protein-biopolymer interactions. By detecting the characteristic wavelength of the protein's endogenous fluorescence, the changes in the secondary structure of the protein are revealed (Kaushik et al., 2019). The intrinsic fluorescence of zein comes from containing specific amino acid residues (tryptophan, phenylalanine and tyrosine residues) (Shukla and Cheryan, 2001). When zein was combined with different biopolymers (such as polysaccharides, surfactants, stabilizers), it will induce changes in fluorescence characteristics, and then the interaction between different treatments on zein-biopolymers can be analyzed. The relationship between the fluorescence characteristics of zein nanoparticle dispersions after different combined frequency ultrasound-assisted dialysis treatments was shown in Fig. 2AB. After excitation of purified untreated zein, the average fluorescence peak achieved at 301 nm, which correlated to the high proportion of tyrosine residues (Joye et al., 2015; Yang et al., 2019). In general, after combined frequency ultrasonic treatment, it can be found that the maximum emission intensity of the zein nanoparticle dispersion was significantly higher than that of the untreated sample. This might be due to the mechanical and cavitation effects of ultrasonic waves and local high temperature and high pressure. Under the action of zein, the hydrophobic interior of zein was opened, and the protein stretched to expose the hydrophobic amino acid residues at the molecular level, thereby affecting the secondary structure of the protein. For a single nanoparticle (Fig. 2 A), fluorescence intensity changes after different combined frequency ultrasound treatments are also different. The more prominent one is 20/40 kHz ultrasound. The fluorescence intensity after ultrasound-assisted dialysis treatment was the highest. After ultrasonic treatment of samples with other combined frequencies, the fluorescence intensity also showed obvious enhancement compared with no ultrasonic treatment. For binary nanoparticles (Fig. 2B), the overall fluorescence intensity increases after combined frequency ultrasound assisted dialysis. Compared with zein single nanoparticles, the addition of NaCas has a synergistic effect that enhanced the fluorescence intensity. However, the interaction between NaCas and zein changed the local microenvironment of the protein, and the whole presented a non-polar state. A single NaCas has a fluorescence emission peak at 345 nm under a 280 nm excitation wavelength. Under the conditions of ultrasound and dialysis treatment, after adding NaCas, the typical characteristic fluorescence peak of zein disappeared. Besides, the fluorescence intensity of tyrosine residues increased and the maximum emission wavelength of tyrosine shifted to a longer wavelength of 355 nm. This indicated that under ultrasound and dialysis treatment, Zein and NaCas formed a complex and interactions between nanoparticle molecules occurred which might due to hydrophobic interaction and hydrogen bonding (Wei et al., 2019). Similar phenomena have been observed in the research of other scholars. Liang et al. (2008) found that the local environment of the binary nanoparticle colloidal dispersion was non-polar. Liu et al. (2020) have reported that when pterostilbene (PTS) was loaded into zein nanoparticles, the characteristic spectrum of PTS moved to 395 nm as well as light intensity increased, the molecules were tightly combined."
9,Circular dichroism (CD),"3.3 Circular dichroism (CD) The far-ultraviolet CD is a fast method to analyze and characterize protein conformation changes (Greenfield, 2006). This study was mainly used to analyze the alteration in the secondary structure of zein compound nanoparticles under different combination frequencies of ultrasound-assisted dialysis. A single zein without ultrasonic dialysis treatment showed a characteristic secondary structure spectrum (zero-crossing at around 193 and 203 nm, and negative peaks at 209 and 224 nm) (Fig. 2C). Compared with the native zein, Zein-NaCas binary nanoparticles prepared by the combined frequency ultrasound-assisted dialysis showed a total decrease in α-helix and β-Sheet structures, and the content of random coil increased significantly (Table 1 ). These changes in the secondary structure made the protein partially inactivated and incompletely unfolded in the final state, thus the protein formed a dense spherical structure. Therefore, ultrasound contributed to the loss of zein's configuration, the self-assembly of zein into ball-shaped nanoparticles during dialysis, and the creation of NaCas in a central shell framework on the outside of zein. In conclusion, the combined frequency ultrasound promoted the non-covalent interaction between zein and NaCas in the process of protein self-assembly. Concerning the Zein-NaCas composite nanoparticles without ultrasonic treatment, the substance of α-helix and β-sheet expanded after treatment with various ultrasonic frequencies (In addition to the content of β-sheets in the sample treated with 40 kHz ultrasound), demonstrating that ultrasonic has changed the molecular group arrangement of Zein through mechanical and cavitation impacts; in this way further affecting the physical and chemical properties of the nanoparticles (Liang et al., 2021)."
