,sections,Text
0,Introduction,"Nowadays, increasing attention is being paid to pollution-related environmental and public health problems, it is important to find a way for obtaining “green” energy. A hydrogen economy coming from renewable energy sources would lead to high benefits at the world level [1–2]. Today hydrogen is mainly produced from fossil fuels and while fossil fuel is not a sustainable energy source, one highly attractive route for hydrogen production is catalytic transformation of bio-ethanol, obtained from transformation and fermentation of biomass. In theory, hydrogen production from biomass or biomass derived liquids can be a neutral carbon-emission process since all carbon dioxide produced can be recycled back to plants, and because of its low toxicity and ease of deliverability, ethanol lends itself very well to a distributed-production strategy [3–11]. Besides, the wide-spread application of fuel cells become closer to reality, so increased attention is focused on hydrogen production technologies [12–16]. Hydrogen may be generated from ethanol by different technologies, as previously described in different reviews [3–11]: steam reforming (SRE) [Eq. (1)] [17–27], partial oxidation (POE) [Eq. (2)] [28–38], and oxidative steam reforming (OSRE) [39–47], including autothermal reforming (ATRE) [48–51] reactions. Moreover, the different technologies have been already compared on some catalysts [50–52]. The endothermic SRE reaction extracts more hydrogen atoms from ethanol and water molecules and provides a high hydrogen yield, which represents an important advantage in hydrogen-production applications. However, SRE is highly endothermic reaction and therefore, high operation temperatures are necessary, so additional energy supply is needed, which leads to high capital and operation costs as well as environmental degradation. The reforming reaction is generally carried out at high temperature (>600°C). An alternative approach is partial oxidation of ethanol (POE), an exothermic reaction that exhibits fast start up and response times while potentially offering a more compact reactor design, desirable features for mobile fuel cell applications. Therefore, one alternative way of supplying heat to the reforming of ethanol system is to add oxygen or air to the feedstock (OSRE, ATRE) and simultaneously to burn a portion of ethanol. POE can be performed with different oxygen concentrations as reported in Eqs. (2) and (3), and the reaction is exothermic for O2/ethanol molar ratio higher than 0.5, while with this ratio the reaction is endothermic. (1) C2H5OH+3H2O→6H2 +2CO2 ΔH°298 =+174KJmol−1 (2) C2H5OH+1.5O2 →3H2 +2CO2 ΔH°298 =−545KJmol−1 (3) C2H5OH+0.5O2 →2CO+3H2 ΔH°298 =+14KJmol−1 Nevertheless, the major barriers to all of these technologies are the by-products formation and catalytic deactivation. So, enormous research efforts have been done to develop cheap, highly active, selective and resistant catalysts and/or electrocatalysts, as ethanol, can be sent directly to a fuel cell. The reactions have been studied over noble metals as well as transition metals with different metals and numerous supports [5–9], and among them nickel and cerium based catalysts have been tested [17,18]. OSRE interested the scientists because adding O2 show beneficial effects [53]. Although the POE reaction could be performed at relatively lower temperature, the high exothermicity of the reaction [Eq. (2)] could lead to hot-spots and deactivation of the catalyst. It is therefore of great interest to compare between SRE, POE and OSRE on exactly the same catalyst, and analyze the influence of different parameters. In the laboratory, different nickel based mixed oxides were studied for hydrogen production from ethanol in SRE [54–58] and in OSRE [59,60]. It is known that the catalyst preparation method is of paramount importance, and we previously analyzed its influence over the cerium nickel based catalyst in SRE activity [56]. Therefore, it is of great interest to analyze the influence of the presence of oxygen using the same catalyst. Here, we report a comparative study on H2 formation activity over the CeNi1O Y catalyst from ethanol in presence of water (SRE), in presence of oxygen with different concentrations (POE) and in presence of oxygen and water (OSRE). The aim of this work was to develop a highly active, selective, stable and cost effective catalyst at low temperature whatever the reaction mixture, and to participate to the open debate on active site and mechanism."
1,Experimental,
2,Catalyst preparation,"2.1 Catalyst preparation The mixed oxide, denoted CeNi1O Y was prepared by coprecipitation of the corresponding hydroxides from mixtures of cerium and nickel nitrates (0.5M) using triethylamine (TEA) as a precipitating agent. After filtration, the solid was dried at 100°C and calcined in air at 500°C for 4h. The calcined compound is noted as fresh catalyst."
3,Catalytic performance,"2.2 Catalytic performance For SRE and OSRE reactions, catalytic performances were conducted at atmospheric pressure with a quartz fixed-bed reactor (inner diameter 10mm or 4mm according to the mass of catalyst) fitted in a programmable oven, in the temperature range of 50–500°C. The catalyst was sieved after preparation and the solid with dimension between 250 and 500μm was used for catalytic test. When noted, the catalyst was previously in situ treated in H2 at 250°C for 10h. The water/ethanol mixture is pumped (with a HPLC pump) into a heated chamber and vaporized. In order to analyze the influence of the concentration of ethanol, different liquid flows of the ethanol–water mixture were used while the H2O/EtOH molar ratio was always kept constant at 3. The liquid flows were between 0.01 and 0.10mLmin−1. The ethanol/water/O2/N2 gas stream (O2–N2 flow: 60mLmin−1) is then fed to the reactor containing the (0.008–0.2g) of catalyst. It has to be remarked that as the O2–N2 flow is maintained constant, when the EtOH concentration is increased, the total theoretical flow is also increased. The gases at the outlet of the reactor were taken out intermittently with the aid of a sampler directly connected to the system and analyzed on-line by gas chromatography (TRACE GC ULTRA) equipped with a thermal-conductivity detector (TCD) and a flame ionization detector (FID). Solid carbon is formed among the products. For POE reaction, catalytic performances were conducted at atmospheric pressure with a quartz fixed-bed reactor (inner diameter 10mm) fitted in a programmable oven, in the temperature range of 200–500°C. When noted, the catalyst was previously in situ treated in H2 at 250°C for 10h. Ethanol is sent via a saturator and the partial ethanol pressure is controlled using a condensator, 4mol% of EtOH was sent for almost all the experiments, while 4–20mol% range of EtOH was studied when precised. It has to be remarked that as the O2–He flow is maintained constant (O2–He flow: 60mLmin−1), when the EtOH concentration is increased, the total theoretical flow is also increased. The O2/ethanol molar ratio varies between 0.5 and 1.5. The ethanol/O2/He gas stream is then fed to the reactor containing 0.2g of catalyst diluted with SiC, and sandwiched between two layers of SiC. The gases at the outlet of the reactor were taken out intermittently with the aid of a sampler directly connected to the system and analyzed by FID and TCD gas chromatography. Reaction data were collected for each temperature. Solid carbon is formed among the products but not quantified. Appropriate blank runs have shown that under our experimental test conditions the contribution of the gas phase reaction is negligible. Reaction data were collected as a function of time and reported after at least about 5h when the steady state was obtained, for each temperature. Catalytic performances were reported by ethanol conversion (X EtOH), and products molar composition (Ci ) (dry basis), based on the following equations [Eqs. (4) and (5)]. (4) X EtOH = n EtOH , in − n EtOH , out n EtOH , in × 100 % (5) C i = n i Σ products n i × 100 %"
4,Catalyst characterizations,"2.3 Catalyst characterizations The metal loadings were analyzed by ICP-MS technique from CNRS-Service Central d'Analyses and the molar ratio was then deduced. The BET surface area was measured by N2 physisorption at 77K by using a Micromeritics TriStar II 3020 Surface-Area and Porosimetry analyzer. The sample was previously out-gassed under vacuum at 150°C for 3h. Raman spectra were acquired on a Labram Infinity HORIBA JOBIN YVON Raman spectrometer using a visible laser with a wavelength of λ =532nm at room temperature. H2-TPR was performed on a Micromeritics Autochem II Chemisorption analyzer, and the H2 consumption was measured by a TCD detector. The sample was treated in the 5vol.% H2–95vol.% Ar mixtures with a flow rate of 30mLmin−1. The temperature was increased to 1000°C at a heating rate of 10°Cmin−1. In situ XRD in H2 was performed on a Bruker D8 Advance type HT1200N X-ray diffractometer equipped with a fast detector type VANTEC with a copper anticathode. A mixed gas of 3vol.% H2–97vol.% Ar was employed with a heating rate of 10°Cmin−1 from room temperature to 450°C. Inelastic Neutron Scattering (INS) experiments were performed using the IN1 BeF spectrometer at ILL (Institut Laue Langevin, Grenoble). 36g of solid were placed inside stainless steel containers, and the treatment in H2 (10h) was performed using high purity gas. The scattering cross-section is much greater for hydrogen (80 barns) than for other elements (5 barns), therefore, INS emphasizes motions of hydrogen species."
5,Results and discussion,"Hydrogen production from ethanol SRE, POE and OSRE was investigated over a cerium nickel based mixed oxide catalyst (CeNi1O Y ). The influence of different parameters was analyzed, such as reaction temperature, water–oxygen–ethanol feed compositions, and in situ pre-treatment in H2."
6,Steam reforming of ethanol (SRE),"3.1 Steam reforming of ethanol (SRE) The efficiency of the CeNi1O Y catalyst was thoroughly studied by its capacity to produce hydrogen from SRE (H2O/C2H5OH=3) in diluted conditions (H2O: 9mol%; C2H5OH: 3mol%) to avoid any problems due to volume variation when a high concentration of gases are produced (Fig. 1 ). At 450°C, the CeNi1O Y catalyst (0.05g) is able to completely convert ethanol to H2, CO2 and CH4 (almost no CO is observed), with a H2 yield of 3molmolEtOH −1 [56]. It has to be noticed that decreasing the ethanol concentration allows still enhancing ethanol conversion [58]. On the present catalyst, the activity is high at 450°C and almost no variation is observed on the conversion with only a small conversion decrease when increasing EtOH concentration up to 14% (mol). In the meantime, the products distribution is influenced by the increase of EtOH concentration, with a decrease of H2 proportion (among the gas phase products) and an increase of CO and CH4. However, it has to be noted that the products distribution is reported as obtained by online analysis, without any correction related to volume variation. The catalyst mass must be decreased down to 0.008g to see a decrease of EtOH conversion, evidencing the high activity of this catalyst, with in such a case appearance of acetaldehyde (Fig. 1). Numerous different reactions can take place, and have been largely reviewed [5,7–10] however, acetaldehyde can be obtained by ethanol dehydrogenation [Eq. (6)] and decomposition of ethanol [Eq. (7)] and/or acetaldehyde lead to the formation of methane. (6) C2H5OH→CH3CHO+H2 (7) C2H5OH→H2 +CH4 +CO By increasing the reaction temperature from 450°C up to 650°C, CH4 formation gradually decreases from 20% down to zero, while CO formation starts rising to about 13%, in agreement with methane reforming at high temperatures and CO transformation by a water gas shift at low temperatures. As a result, the yield of hydrogen significantly increases up to 4.6molmolEtOH −1 at 650°C, while the catalyst exhibits considerable stability, even if some carbon is formed [56]. It is important to mention that working at high temperature water gas shift (WGS) equilibrium does not allow reaching the theoretical value of 6molmolEtOH −1. Moreover, it must be emphasized that the hydrogen production can be promoted by increasing the water partial pressure and the H2O/C2H5OH molar ratio. Biswas et al. obtained at 600°C on a Ni/CeO2–ZrO2 catalyst, in a reaction mixture with a high H2O/EtOH ratio of 8, the highest value for H2 production (5.8molmolEtOH −1) that has been reported in the literature, close to the theoretical value of 6molmolEtOH −1 [18]. The other products formed were CO (0.47molmolEtOH −1), CH4 (0.33molmolEtOH −1) and CO2 (1.15molmolEtOH −1). Therefore close to 75% of H2 were obtained with 6% of CO, 4% of CH4 and 15% of CO2. As a matter of fact, thermodynamics predicts the equilibrium composition of reactants and products at different temperatures. Moreover, the increase of the H2O/EtOH ratio, as well as the addition of helium as inert gas increases H2 production at low temperatures [61–62]. Besides, it is noticeable that the experimental results of H2 production are higher than the ones calculated by the thermodynamic analysis. It has been reported that there is a region of non-equilibrium in which higher H2 concentration can be obtained. Moreover, it has been also shown that the carbon formation involving different types of carbon species must also be taken into account in the thermodynamic calculation [61]. Hydrogen production from ethanol in the presence of water (H2O/C2H5OH=3) was also previously investigated over the series of cerium nickel CeNi X O Y (0< x ≤5) mixed oxide catalysts in harsh conditions (14mol% EtOH) [54,55]. The influence of different parameters was analyzed, such as reaction temperature, Ni content and in situ pre-treatment in H2. A stable activity i.e., ethanol conversion and H2 formation can be obtained at very low reaction temperature (200°C) when the solid is previously in situ treated in H2 at adequate temperature. When the CeNi0.4O Y [54] or CeNi0.5O Y [55] catalysts are previously in situ treated in H2 at 200°C, there is globally an increase of the conversion versus temperature with the existence of an optimum for a reaction temperature of 250°C. The influence of the in situ treatment in H2 at 200°C on the ethanol conversion obtained at 200°C and 250°C has been analyzed versus the Ni content of CeNi X O Y compounds [54]. Moreover, the influence of the in situ treatment temperature T T has been analyzed on the CeNi0.7O Y compound, and an optimum of activity at 250°C has been shown for a T T of 270°C of the catalyst [55]. Fig. 2 shows the high influence of T T on the CeNi1O Y compound. The reaction is performed at a particularly low temperature of 250°C in harsh conditions (14mol% of EtOH) maintaining the molar H2O/C2H5OH ratio of 3. Clearly, the conversion and products distribution depend on the pre-treatment in H2 and an optimum T T of about 250°C is obtained. Increasing T T up to 450°C leads to a conversion decrease, and much particularly to an increase of carbon formation, even if a slight increase of H2 can be obtained. Without any pretreatment in H2 or with a low T T, the conversion remains very low and ethylacetate and acetaldehyde are mainly obtained in such conditions. All the results obtained show the high performance of the CeNi1O Y catalyst, in particular at low temperature. Numerous parameters are influencing the results obtained, in complement to the already reported water concentration and/or H2O/EtOH ratio effects, such as the in situ pre-treatment in H2 that has to be performed at adequate temperature, as well as the ethanol concentration, the highest conversion being obtained with the lowest ethanol concentration. To be able to report high conversion at low temperature, low concentration of ethanol is favorable. As shown in Fig. 3 , high conversion of EtOH can be obtained at only 300°C in highly diluted conditions (1% EtOH). After several hours, a stable EtOH conversion at about 60% is obtained on a low mass of catalyst (0.05g), with the formation of 75% of H2, 10% of CO2, 10% of CH4 and 5% of acetaldehyde. No CO and no carbon are observed. It seems that the present catalyst allows totally transforming CO at low temperature of 300°C through WGS to H2. As it is known that increasing water–ethanol ratio allows obtaining higher H2 yield, hence the performance obtained here with a H2O/EtOH ratio of 3 is interesting as compared to the literature [58]. At this particularly low temperature, it could be expected that increasing Ni content would allow increasing conversion and ameliorating selectivity, if high dispersion of Ni could be maintained. As a matter of fact, it has been recently reported, in similar conditions, that total conversion of EtOH can be obtained with the expected products from SRE without formation of acetaldehyde on Ni–Mg–Al–O based catalyst involving higher Ni content [58]. Moreover, it has been shown that conversion of EtOH can be increased and acetaldehyde formation decreased by increasing Ni content on different nickel based catalysts (even if in such a case carbon formation increased also) [56,58]."
7,Partial oxidation of ethanol (POE),"3.2 Partial oxidation of ethanol (POE) 3.2.1 Effect of O2/EtOH ratio The fresh CeNi1O Y catalyst has been tested in POE for different O2/EtOH ratios between 200 and 480°C. Fig. 4 shows ethanol conversion and products distribution versus reaction temperature obtained with different oxygen/ethanol molar ratios: 0.56, 1 and 1.5. All the curves show the same tendency, the conversion increases with the temperature and reaches 100% at 350°C with a ratio of 1.5 and at 400°C with the other ratios, so at lower temperature with the highest concentration of O2. Ethanol conversion increases more rapidly when the O2/EtOH ratio increases. H2 appears at 300°C in the gas phase products, its molar fraction increases drastically between 300 and 350°C, and then it increases slightly when increasing temperature. H2 formation follows almost the same trend with the O2/EtOH ratios, however, it is lower with the highest O2/EtOH ratio, and a slight optimum could be seen with the ratio 1 at 440°C, with 68% of H2 among the gas phase products. Even if ethanol conversion is complete at 350 or 400°C depending on O2 concentration, oxygen conversion is complete at 300°C. At low temperature (200–300°C), the main products observed are acetaldehyde, CO2, acetone and ethylacetate, depending on the O2 content; acetaldehyde, being the main product at the lowest temperature analyzed (200°C). The formation of CO2 presents an optimum; it reaches about 70% with the highest concentration of O2 at 300°C. The high formation of CO2 is coherent with Eq. (2), however, hydrogen started only to be observed at this temperature, may be because the catalyst consumes hydrogen and get partially reduced. CO is found in much lower concentrations, whatever the O2 concentration; it presents an optimum at 350°C. Whatever the O2/EtOH ratio, ethylacetate is found at 17% at 200°C and it decreases with temperature to disappear at 350°C, while acetone presents an optimum at about 7% at 300°C. Acetaldehyde and ethylacetate disappear at 400°C while methane is formed at temperatures higher than 300°C. As discussed for SRE reaction, several competing reactions can exist such as ethanol dehydrogenation and decomposition. Moreover, in presence of O2, partial oxidation reactions take place. POE may be even considered as a combination of partial oxidation to syngas coupled with CO oxidation. Furthermore, oxidative dehydrogenation to acetaldehyde could occur in parallel with POE, as already previously reviewed [5,7–9]. 3.2.2 Effect of reactants concentration The fresh CeNi1O Y catalyst has been also tested in POE with the O2/EtOH ratio of 1.5 varying the concentration of EtOH between 4 and 20mol.%, and consequently also the O2 concentration as here the O2/EtOH ratio is maintained constant (Fig. 5 ). The conversion of EtOH is found relatively stable versus EtOH concentration, reaching almost 60%, however, it is important to note that to get the same reaction temperature, the oven temperature had to be lowered (Fig. 5a). With an oven fixed at 300°C and an EtOH concentration of 4%, there is almost no variation of temperature between the oven and reaction temperatures. However, there is almost 100°C of difference between the oven and reaction temperatures when the EtOH concentration is of 20% (oven temperature at about 220°C in order to get a reaction temperature of 300°C). Therefore, the same conversion is obtained at the same reaction temperature, however, with a higher total theoretical flow when EtOH concentration is increasing. So the catalyst can be seen as more active in high EtOH concentration in comparison to the results obtained with low EtOH concentration, while the inverse has been observed previously in SRE. H2, CH4, CO and acetaldehyde increase globally with increasing EtOH concentration while CO2 and acetone decreases. Ethylacetate is found in low quantity. 3.2.3 Effect of in-situ pretreatment in H2 The influence of the in situ pretreatment in H2 at 250°C of the CeNi1O Y catalyst has been studied with the O2/EtOH ratio of 1.5 (Fig. 6 ). This treatment leads to a complete ethanol conversion in POE at 300°C, so at 50°C lower than without pretreatment, and also to the apparition of H2 at 250°C (Fig. 6a), so at 100°C lower compared to fresh catalyst. Therefore, the activation in H2 has a beneficial effect on ethanol conversion and H2 formation at low temperature in POE. While O2 conversion is the same for the treated and fresh catalyst. At temperatures higher or equal to 350°C ethanol and O2 conversions and products distribution (unless for CH4) do not seem to depend on the activation of the catalyst. However, one must note that the conversion being total it may be not possible to see differences. The main differences in the gas phase products distribution are observed at low temperature, mainly for H2, CO and CH4 that are favored at lower temperature on the treated in H2 catalyst. Clearly, the treatment in H2 at 250°C leads to a beneficial effect on H2 production at low temperature. CH4 and CO are observed at temperatures higher than 250°C. Hence, ethanol [Eq. (7)] and/or acetaldehyde are decomposed to CO and CH4 at lower temperature over the pretreated in H2 catalyst. Moreover, CH3CHO obtained by dehydrogenation of ethanol [Eq. (6)], decreases more drastically with reaction temperature on the H2 pretreated catalyst. So the pretreatment in H2 generates active sites able to perform the corresponding reactions at low temperature. Formation of acetone and ethylacetate, not reported here, diminish on the H2 treated catalyst. At 300°C their molar fractions is of about 1%, showing that the active sites related to the formation of these products are suppressed. Besides, over the fresh catalyst, up to 300°C acetaldehyde is observed but not H2, so H2 that should be produced from ethanol by dehydrogenation reaction [Eq. (6)] is certainly consumed by the solid leading to a partially reduced compound, explaining the beneficial effect observed due to the pretreatment in H2 of the catalyst. Hydrogen species already present in the solid allow the H2 formation (desorption) at low temperature even in presence of oxygen. The partial oxidation of ethanol (POE) reaction for H2 production has been much less reported compared to SRE, and in particular POE using an O2/EtOH=1.5 [Eq. (2)], some more papers focusing on lower O2/EtOH ratios [Eq. (3)]. Depending on the nature of metal catalyst used, the pretreatment applied and the reaction operating conditions employed, different products can be observed [5,7–9]. Moreover, it is clearly shown in the present study that even on exactly the same catalyst, different pretreatment and conditions applied lead to different results evidencing the versatility of a catalyst. The POE to H2 and CO2 has been reported at low temperatures, (300–400°C) using an O2/EtOH molar ratio up to 2 over Ni–Fe catalysts [28] and Cu/Nb2O5 catalyst [32] previously in situ pretreated in H2. It has been shown that H2 production can be increased by the addition of O2, and that an optimum can be obtained with an O2/EtOH ratio of 1.5 [28]. Very high conversion of ethanol could be obtained at 300°C (100% on Cu/Nb2O5 and 87 % on Ni–Fe), and total conversion of O2 was observed at lower temperature (200°C on Cu/Nb2O5). Therefore, the results obtained here are in good agreement with previous results obtained on different types of catalysts, even if products distributions could be different. In particular no CH4 on the Ni–Fe catalyst, and little formation of CO on Cu/Nb2O5 were observed. Subramani et al. proposed that the large amounts of H2 formation in POE could be explained by the fact that the acetaldehyde formed by the oxidative dehydrogenation could be partially oxidized to H2 and carbon oxides [7]."
8,Oxidative steam reforming of ethanol (OSRE),"3.3 Oxidative steam reforming of ethanol (OSRE) The conversion is largely increased when adding O2 to the reaction mixture compared to SRE conditions. As an example, Fig. 7 presents the results obtained in OSRE conditions over the CeNi1O Y catalyst pretreated in H2 at 250°C (using harsh conditions: 14mol% EtOH). For comparison, about 40% of ethanol conversion was obtained at 250°C in SRE conditions with the same mass of catalyst (Fig. 2). At a reaction temperature of 250°C, the ethanol conversion is very high at about 75% with about 40% of H2 in the gas phase products. At 400°C, ethanol is totally converted. As expected, CO2 is found in high quantity while CO presents an optimum at 350°C. CH4 increases with temperature whereas acetaldehyde disappears at about 400°C. As already reported, dehydrogenation of ethanol, produces acetaldehyde and H2 [Eq. (6)] while decomposition of ethanol (and/or acetaldehyde) produces methane, carbon monoxide and hydrogen [Eq. (7)]. CO can react with water in the so called WGS reaction. A stable activity i.e., ethanol conversion, and H2 selectivity can be obtained at very low temperature when the solid is previously in situ treated in H2 at 250°C. So, a beneficial effect of the H2 pretreatment is also observed as already reported for SRE and POE reactions. However, it is important to remark that in presence of O2, once the catalytic reaction started at 200°C only a small energy supply was needed. The oven temperature was lowered to about 130°C. So the results reported at a reaction temperature of 250°C are obtained with a much lower oven temperature, as previously observed in POE when using a high concentration of EtOH. The evolution of the reaction temperature is reported versus the oven temperature i.e., the energy needed to maintain the catalytic reaction. The catalytic results could be ameliorated and high activity has been reported using only a small quantity of catalyst (0.03g) [59,60]. The unique activation phenomenon of the reaction (the dramatic variation of temperature between the catalyst bed and the oven) was deeply analyzed previously [59]. Moreover, the remarkable catalytic stability was attributed to the graphitic filamentous carbon formed during the reaction. Fig. 8 shows full ethanol conversion on the CeNi1O Y catalyst with a H2 formation of about 45% (mol%) relative to all the gas phase products (dry basis). The other products analyzed are mainly CO2 (41%) and CO (12%) with very low formation of CH4 and CH3CHO (<1%). Continuous complete conversion of ethanol specifically at 50°C (oven temperature), with simultaneously production of H2, is obtained. The catalyst exhibits remarkable stability after at least 75h of reaction, even if carbon deposition is found after the reaction. Therefore, compared to previous results we reported, the oven temperature has been still decreased (50°C compared to 60°C previously reported). Finally, a cerium nickel based catalyst was developed for the highly efficient sustainable H2 production from ethanol and water in the OSRE reaction involving only a small energy input. The catalyst is able to continuously completely convert ethanol specifically at 50°C (oven temperature), and simultaneously produce H2, CO2 and CO. To the best of our knowledge, OSRE at a so low temperature has not been reported before. Sato et al. reported OSRE at very low temperature (100°C) on Ni/Ce0.5Zr0.5O2 and Ni/CeO2 catalysts [40]. They have shown that reduced Ni/Ce0.5Zr0.5O2 repeatedly triggered OSRE of ethanol at 100°C even in the presence of a stoichiometric excess of steam. Interestingly, the furnace heater was switched off after the reaction mixture was fed. However, the conversions and H2 formation rates were measured after 30min, but in repeated cycles. In the OSRE process, the endothermic SRE is assisted by the exothermic POE reaction. The competing reactions such as dehydrogenation of ethanol to acetaldehyde [Eq. (6)], and ethanol decomposition to CH4, CO and H2 [Eq. (7)] could also occur. It has been reported that OSRE could occur to produce H2 and CO/CO2 as major products with maximum H2 yield above 600°C, if CH4 is formed as an intermediate. Therefore, usually, the OSRE process has been studied at high temperatures and low O2/EtOH ratios [50–52]. However, a catalyst that has poor selectivity for ethanol decomposition to CH4 could produce H2 and CO2 at relatively low temperature, because thermodynamic analyses also indicated that when acetaldehyde is formed as an intermediate, it could be readily converted into H2 and CO2 via oxidative steam reforming; this reaction being highly favorable would go to completion even at low reaction temperatures. Selected best performing catalysts for the low temperature OSRE (300–450°C) have been proposed, and it has been suggested that these catalysts proceed without involving CH4 as intermediate [7]."
9,Characterizations,"3.4 Characterizations It is well known that physicochemical properties of a catalyst play an important role in the evolution of surface reactions. The main factor leading to a high activity i.e., ethanol conversion, and H2 selectivity at very low temperature is the in situ activation of the solid in H2 in a temperature range between 200 and 300°C. Different physicochemical techniques, including TPR, TGA, XRD, Raman, XPS, ion sputtering, and TEM, were used to characterize the CeNi X O Y catalysts [63,70–72]. A relatively high surface area is obtained for the CeNi1O Y catalyst (Table 1 ). A cerium nickel solid solution and highly dispersed nickel oxide with ceria can be obtained for the compound. The Raman spectroscopy results show a strong frequency shift and broadening for the first-order F2g ceria peak located near 460cm−1 related to fluorite nano-crystalline CeO2 (Fig. 9 ) [64–66]. This behavior is interpreted as a result of the insertion of Ni into the ceria phase (Ni species replacing some Ce species), in agreement with the presence of a solid solution [67]. Ion sputtering followed by XPS analysis allowed estimating the size of NiO nanoparticles (2nm) co-existing in the compound with some larger nanoparticles evidenced by XRD and microscopy [63]. As a matter of fact, XRD allowed an estimation of the crystallite size at about 5nm for CeO2 like species and at about 10nm for NiO species for the calcined compound (Fig. 10 , Table 1). The TPR profile in H2 of the catalyst is shown in Fig. 11 . A first reduction temperature peak is observed at 266°C. This peak is more intense for a low Ni content on CeNi X O Y catalysts and has been attributed to the reducibility of Ni species in solid solution and/or small NiO nanoparticles [72]. The second peak at about 370°C that increases with the Ni content on CeNi X O Y catalysts is attributed to larger NiO nanoparticles (10nm) visible by XRD, in good agreement with literature [72]. The Ni species from the solid solution and/or small NiO particles are first concerned by the reduction when increasing temperature [Eq. (8)], and then those of the larger NiO particles but with the simultaneous re-oxidation of a part of these species by reduction of the Ce4+ ions in their vicinity into Ce3+ species [Eq. (9)] as the existence of a redox system was established [63,70,71]. For an in situ treatment temperature up to 300°C in H2, metallic Ni is not observed by in situ XRD in H2 (Fig. 10), therefore a “partially reduced” solid is obtained, with mainly the generation of anionic vacancies, which number is increased by the H2 treatment. (8) Ni2+ +O2− +H2 →Ni0 +H2O+□ (with □: anionic vacancy) (9) 2 Ce4+ +Ni0 ↔2 Ce3+ +Ni2+ Moreover, during the activation treatment in H2 at 250°C, the anionic vacancy is filled with hydride species by heterolytic splitting of H2 [Eq. (10)]. (10) O2− M n+ □+H2 →OH−M n+H− As shown by INS (Fig. 12 ). Two new intense and large bands at about 460 and 870cm−1 are observed on the solid treated in H2, due to the insertion of different hydrogen species. The hydrogen species of the hydride nature related to the peak at about 460cm−1 appear clearly after a treatment in H2 at 250°C [68]. The band at 870cm−1 has been previously attributed to hydrogen species related to the presence of metallic Ni [68]. However, it has to be recalled that metallic Ni is not observed by in situ XRD in H2 at this temperature (Fig. 10). Therefore, during the activation treatment in H2 in temperature, the CeNi1O Y solid becomes a hydrogen reservoir with hydrogen species stored in the bulk and at the surface of the solid; anionic vacancies are created, able to accept hydride species with the formation of an oxyhydride [69]."
