,sections,Text
0,Introduction,"Organic pollutants are difficult to be naturally degraded by the environment, and can potentially cause harm to humans through bioaccumulation [1–3]. Among the various organic pollutants, tetracycline (TC), the second most produced and consumed pharmaceutical antibiotic in the world, and is widely used in medicine and animal husbandry [4,5]. Currently, owe to the severe abuse and high stability of antibiotics, they can easily accumulate to high levels in the environment [6,7]. This may lead to the generation of drug-resistant bacteria and disrupt the harmony of microbiota in the aquatic environment, thus further threatening ecosystems and human health [8,9]. Therefore, effective control of water quality degradation caused by TC has become a priority for researchers to attack. It is well known that the traditional technologies, such as filtration [10], adsorption [11] and other oxidation forms [12,13], are no longer suitable for the current sewage environment due to low efficiency, high cost, and complex processes [14]. Promisingly, in the past decade, the semiconductor photocatalysis technique has appeared enormous superiority in the removal of organic pollutants with its advantages of cut-price, environment-friendly and high efficiency [15–17]. However, in traditional catalysts (such as TiO2), the limited photo-response range and the easily recombined photogenerated electron (e-) and hole (h+) pairs have become the bottleneck in the development of photocatalysts [18,19]. Thence, it is necessary to explore an effective and stable semiconductor material that can be excited by visible light. Bismuth tungstate (Bi2WO6) has received great attention because of its suitable band gap (2.97 eV, this work) and high stability, and is considered to be the most prospering photocatalytic material for degrading water pollutants [20]. However, the narrow visible light absorption range, low carrier separation efficiency and limited reduction ability still hinder the development of single Bi2WO6. In particular, the reduction potential of the Bi2WO6(CB = −0.17 eV, this work) conduction band (CB) is lower than the potential for generation of superoxide radicals (O2/•O2 – = −0.33 eV), which are one of the essential active substances for the degradation of pollutants [14,21]. To overcome these weaknesses, the current research mainly concentrated on two aspects: 1) atomic doping and morphology control. Ning et al. [22] synthesized GO/TiO2/Bi2WO6 nanocomposite to inhibit the recombination of photogenerated electron-hole pairs. Zhang et al. [23] proved I–-doped Bi2WO6 composites can reduce the potential energy of the conduction band. Wang et al. [24] constructed a new atomic-level g-C3N4/Bi2WO6 heterojunction with high photogenerated carrier separation efficiency; 2) construction of heterojunction. Conventional type I and type III heterojunctions are eliminated because electrons and holes are accumulated in the same semiconductor, which is not conducive to the progress of photocatalysis [25]. In addition, the accumulation of e- and h+ at low reduction and oxidation potentials, respectively, leads to a reduction in the redox capacity of type II and p-n heterojunctions [26]. Differently, the Z-scheme heterojunction is a composite material formed from two highly compatible semiconductor. Electrons can be smoothly transferred from the CB of one semiconductor to the valence band (VB) of the other semiconductor, thus retaining more negative CB potential and higher VB potential, a structure that allows for effective charge separation and produces high redox capacity [27,28]. Extensive work has also demonstrated the feasibility of combining Bi2WO6 with different compounds to form a Z-scheme heterojunction: i) metal (bimetal) oxide: Bi2WO6/MnO2 [29], Bi2WO6/ZnO [30], Bi2WO6/CuBi2O4 [14], Bi2WO6/WO3 [31], Bi2Fe4O9/Bi2WO6 [21], SnNb2O6/Bi2WO6 [8], Ag2O/Bi2WO6 [32]; ii) halide: AgBr/Bi2WO6 [26], γ-AgI/Bi2WO6 [33], BiOBr/Bi2WO6 [34]; iii) non-metallic photocatalysts: g-C3N4/Bi2WO6 [35], PW12/CN@Bi2WO6 [20], g-C3Nx/Bi2WO6 [36]. Among these strategies, Z-type heterojunctions with effective photogenerated charge separation can be fabricated only by combining Bi2WO6 with a semiconductor material having an appropriate bandgap potential. Furthermore, the potential difference created by the intimate heterogeneous interfacial contact between two semiconductors is critical for electron transfer [37]. Particularly, chemical bonds formed by surface groups between heterojunctions can increase electron transfer channels and further improve photocatalytic activity [8,38]. Cu2(OH)3F is a suitable semiconductor material with a high CB potential (CB = 0.64 eV, this work). Especially, the great amount of —OH bonds can be adsorbed on the surface of Bi2WO6 in the alkaline hydrothermal process, and these —OH and W—O groups can further linked to the —OH on the surface of the candidate semiconductor through hydrogen bands [8]. Compared with other materials that rely on adsorption to obtain —OH groups, Cu2(OH)3F can provide more abundant —OH groups to facilitate the linkage between heterogeneous. This is equivalent to forming a channel that is beneficial to the charge transfer between Cu2(OH)3F and Bi2WO6. In consequence, the construction of Z-scheme heterojunction by Cu2(OH)3F nanosheets modified Bi2WO6 is an ideal mode to strengthen the catalytic performance of the photocatalysts. In this study, a Z-scheme Cu2(OH)3F/Bi2WO6(CFO/BWO) heterojunction with intimate hetero-surface contacts was prepared via a two-step hydrothermal method of decorating Cu2(OH)3F nanosheets on Bi2WO6. The crystal structure and morphology of the photocatalysts were characterized via X-ray diffraction (XRD), scanning electron microscope (SEM) and transmission electron microscope (TEM). The hetero-surface hydrogen bonds were confirmed by X-ray photoelectron spectroscopy (XPS), Fourier transforms infrared spectroscopy (FT-IR) and Raman spectra. In addition, optical properties are measured by UV–vis diffuse reflectance spectra and electrochemistry tests. As expected, the as-prepared Z-scheme CFO/BWO heterojunctions showed excellent degradation activity towards tetracycline hydrochloride (TC-HCl) in photocatalytic experiments with outstanding cyclability and superior stability. Furthermore, free radical quenching experiment was performed to determine the reactive species in this system. A possible path of interface charge transfer in the Z-Scheme CFO/BWO heterojunction and the mechanism of TC-HCl photodegradation during the reaction was also inferred and discussed."
1,Experimental section,
2,Chemicals,"2.1 Chemicals Bismuth nitrate pentahydrate (Bi (NO3)3·5H2O, Aladdin, 99.4%). Sodium tungstate (Na2WO4·2H2O, Kermel, 99.5%). Ethylene glycol ((CH2OH)2, Tianjin, DAMAO,99%). Cupric sulfate (Cu(NO3)2·3H2O, Tianjin, YongDa, 99%). Hexamethy lenetetramine (C6H12O6, Tianjin, KaiTong, 99%). Ammonium hydroxide solution (H5NO, Aladdin, 25–28%). All chemical reagents are analytically pure, no further purification is required."
3,Preparation of Bi2WO6,"2.2 Preparation of Bi2WO6 Flower-like spherical Bi2WO6 was synthesized via a hydrothermal reaction. Specifically, stirred and dissolved Na2WO4·2H2O (0.66 g) in 40 ml deionized water. Bi (NO3)3·5H2O (0.97 g) was ultrasonically dissolved in 40 ml of Ethylene glycol. Then, the Na2WO4 solution was slowly added dropwise to Bi (NO3)3 solution under continuous stirring. Subsequently, the mixture was poured into a Teflon-lined autoclave (100 ml) lined with PTFE and maintained at 160 °C for 20 h. After natural cooling, the final product was obtained by repeated washing and drying overnight at 60 °C."
4,Preparation of Cu2(OH)3F/Bi2WO6,"2.3 Preparation of Cu2(OH)3F/Bi2WO6 Preparation of Cu2(OH)3F/Bi2WO6 heterojunction by direct in-situ hydrothermal deposition of Cu2(OH)3F on the surface of Bi2WO6 microspheres (Scheme 1 ). Typically, a certain proportion of Bi2WO6 and Cu(NO3)2·3H2O were added in 50 ml deionized water and ultrasonic treatment for 1 h. Then C6H12O6 was added and stirred for 10 min. Adjusted the pH of the mixed solution to 7 ~ 8 with ammonia. Immediately following, NaF was added to the mixed solution and stirring was continued for 10 min. Next, the mixture was poured into an 80 ml autoclave and placed at 105 °C for 3 h. The precipitate was received through the same post-processing steps as above. The Cu2(OH)3F/Bi2WO6 heterojunctions with different deposition ratios of Cu2(OH)3F to Bi2WO6 were marked as 15 %CFO/BWO, 25%CFO/BWO, 35 %CFO/BWO, 45 %CFO/BWO, respectively. Pure Cu2(OH)3F was synthesized under the same operating procedures."
5,Characterization,"2.4 Characterization The crystalline phase of the samples was determined by X-ray diffraction (XRD) patterns and measured on a Panalytical X′ Pert Pro Netherlands diffractometer using Cu Ka radiation (=0.15408 nm) at 40 kV and 40 mA. The scanning electron microscopy (SEM, JEOL JSM 6700F) with the energy-disperse X-ray spectroscopy (EDS) and transmission electron microscopy (TEM, TECNAIG2F20-S-TWIN, USA FEI) to obtain the morphology and microstructure of the catalysts. X-ray photoelectron spectroscopy (XPS) was collected on a Thermo ESCALAB250XI spectrometer with monochromatic Al Kα radiation to identify the surface elemental composition and chemical state of the prepared samples. Using an UV–vis–near-IR spectrophotometer (Agilent Cary 5000, USA) to analyze the photo-capture performance of all samples. Fourier transform infrared spectra (FTIR) were recorded on the Nicolet Is50 spectrometer. Raman spectroscopy was performed on a spectrometer (Lab RAM HR Evolution) with an argon laser excitation primary at 532 nm. The intermediates of TC-HCl degradation were analyzed by liquid chromatography-tandem mass spectrometry (LC–MS, Thermo Scientific, US). Electrochemical measurements including the Mott-Schottky plots and the transient photocurrent response were implemented on a photoelectrochemical analysis (CHI-660E, Chenhua Instruments Co., Shanghai, China). Detailed performance methods are recorded in the Supplemental material."
6,Photocatalytic activity test,"2.5 Photocatalytic activity test The photocatalytic performance of Cu2(OH)3F/Bi2WO6 was evaluated through degrading TC-HCl in an aqueous solution under the irradiation of a Xenon lamp (300 W) armed with a cut filter (λ > 400 nm). Specifically, the catalyst (10 mg) was added to 50 ml TC-HCl (20 mg/L) solution and the mixture was magnetically stirred in the dark for 30 min to achieve adsorption/desorption equilibrium. 3 ml aliquots were withdrawn from the mixed system every 10 min intervals and filtered instantly. Lastly, the concentration of TC was analyzed using a UV–Vis spectrometer at 500 nm."
7,Results and discussion,
8,XRD and FT-IR analysis,"3.1 XRD and FT-IR analysis Fig. 1 a displayed XRD patterns of pure Bi2WO6 and CFO/BWO composites with different designated depositing amounts of Cu2(OH)3F. All diffraction peaks of single Bi2WO6 and Cu2(OH)3F are consistent with JCPD:39–0256 and JCPD:16–0763, demonstrating that the two compounds with high purity were successfully prepared. With the increase of the amount of Cu2(OH)3F deposition, there is no obvious change in the shape of the diffraction peak of Bi2WO6, and the diffraction peak of Cu2(OH)3F can be more clearly observed, denoting that the presence of Cu2(OH)3F has not changed the crystal structure of Bi2WO6 and two compounds well coexist in the CFO/BWO system. The diffraction peak position of Bi2WO6 shifted slightly toward higher values (Fig. 1b), implying strong interaction between Cu2(OH)3F and Bi2WO6. Attentively, the diffraction peaks of Cu2(OH)3F in all materials are generally weak, which can be ascribed to the high dispersion of Cu2(OH)3F in the CFO/BWO composites. The FTIR spectroscopy technique is used to provide detailed information about the functional groups of the prepared materials. As shown in Fig. 1c, for pure Bi2WO6, the peaks at 572 and 739 cm−1 are belonged to the stretching vibrations of Bi-O and W-O, respectively [39]. The bands below 768 cm−1 can be attributed to the vibration mode of the copper bond for pure Cu2(OH)3F [40,41]. Obviously, it can be further observed that the principal peaks of Bi2WO6 and Cu2(OH)3F in the spectra of a series of CFO/BWO composites. In addition, the intensity of the Cu2(OH)3F diffraction peak can be detected to become progressively stronger with the increase of the deposited amount, which illustrates the successful fabrication of the heterojunction. More importantly, the absorption bands at 3455 cm−1 are from the stretching vibrations and bending of the O-H groups in crystal structure and surface adsorption [38]. Hydrogen bonds may appear at 3400–3500 cm−1 [42]. This provides a foundation for hydrogen bonding to increase the electron transfer pathway at the heterogeneous interface."
9,Morphology analysis,"3.2 Morphology analysis SEM, TEM, and HRTEM were introduced to investigate the tight interfacial heterostructures formed between Cu2(OH)3F and Bi2WO6. The morphology structures of pure Bi2WO6, Cu2(OH)3F and 25%CFO/BWO composites were revealed in Fig. 2 . Single Bi2WO6 exhibits an about 3 µm hierarchical spherical structure self-stacking through numerous nanoflakes (Fig. 2a and f). Pure Cu2(OH)3F appears as stacked fiat blocks with a length of about 50 nm to 150 nm (Fig. 2b and g). In 25%CFO/WBO heterojunctions (Fig. 2c and h), it can be observed that the smaller Cu2(OH)3F nanosheets can be generated in the gaps of the flower-like structure of Bi2WO6, while the larger Cu2(OH)3F particles are dispersedly attached to the surface and edge of the Bi2WO6. Specially, the original spherical structure is still maintained. Fig. 2d-e confirm that the 25%CFO/WBO sample consists of uniformly distributed Bi, W, O, Cu and F elements. Furthermore, the corresponding magnified HRTEM image in selected area (Fig. 2i) distinctly reveals different lattice fringes of 0.310 nm and 0.270 nm corresponding to the (200) plane of Cu2(OH)3F and (002) plane of Bi2WO6, respectively. The above results indicate that an intimate heterogeneous contact is formed between Cu2(OH)3F and Bi2WO6, and can greatly facilitate the transfer of photogenerated carriers."
