,sections,Text
0,Introduction,"The higher alcohols (C1–C5 mixed alcohols) synthesis (HAS) from natural gas or coal via syngas is considered as a potential alternative route for clean fuels as well as chemicals [1–2]. The catalytic synthesis of higher alcohols from CO hydrogenation was first reported in 1920s. However, the application of such an attractive synthesis still suffers from the lack of high performance catalysts. Thus, great efforts are still being made to improve both activity and selectivity of catalysts [1]. As a new type of material, carbides of transition metals receive a great attention with molybdenum carbide being the most promising [3,4]. Insertion of carbon atoms into the lattice of molybdenum leads, due to lattice expansion, to the appearance of a narrower metallic type band with a density of states at the Fermi level similar to that of noble metals [4]. Recently, molybdenum carbides reported to be active for synthesis of light hydrocarbons in the liquefied petroleum gas range from carbon monoxide and hydrogen [5,6]. Woo et al. [7] revealed that in the field of CO hydrogenation, molybdenum carbides produce mainly light alkanes, whereas modification with potassium was found to greatly enhance the selectivity to alcohols composed of linear C1–C7. Investigations of molybdenum carbides were also carried out in Fischer-Tropsch synthesis. Synthesis of hydrocarbons from CO/H2 over cobalt or ruthenium promoted molybdenum carbides have been evidenced by Constant et al. [6] and the results indicated that molybdenum carbide gave light hydrocarbons and alcohols, the addition of Ru decreased the alcohol production whereas Co increased the formation of heavy hydrocarbons. Our previous studies also revealed that molybdenum carbides (both β-Mo2C and α-MoC1−X ) mainly produced light hydrocarbons [8]. By adding potassium as a promoter, both β-Mo2C and α-MoC1−X showed a remarkable selectivity shift from hydrocarbons to alcohols. Moreover, potassium enhanced the ability of chain propagation of β-Mo2C and α-MoC1−X with higher selectivity to C2 +OH. And the K/β-Mo2C catalyst was far more active and selective than K/α-MoC1−X catalyst in terms of catalytic performance of HAS [8]. As reported by others [9–12], the transition metals (such as Co, Ni, Rh, Pd) were found to be able to improve the catalytic activity and selectivity of C2 + alcohols due to their strong ability of hydrogenation and chain propagation over MoS2-based catalysts. In our previous studies [13–15], Fe, Co and Ni promoted molybdenum carbides were used for higher alcohols synthesis from syngas, the results revealed that Ni modified K/β-Mo2C catalyst was shown to be highly active and selective towards the synthesis of mixed alcohols, especially for the C2 +OH production. Nickel is an excellent methanation component but other catalytic capabilities have been neglected for a long time. Recent researches on Ni-containing catalysts such as Na-NiO-TiO2, Ni-SiO2 and Cu-Mn-Ni suggested that nickel had potential to promote mixed alcohols synthesis due to the strong ability of CO insertion [16–18]. As a result, a series of nickel modified β-Mo2C catalysts in the presence of potassium were prepared and investigated for their performance of mixed alcohols synthesis in the present paper."
1,Experimental,
2,Catalyst preparation,"2.1 Catalyst preparation Molybdenum carbides were prepared through Temperature-Programmed-Reaction (TPRe) method as described elsewhere [8,15,19]. In detail, the β-Mo2C and Ni/β-Mo2C with the hexagonal close packed (HCP) structure were prepared by direct carburization of the MoO3 and NiMo oxide precursors, respectively. The oxide precursor for NiMo bimetallic carbide was prepared using mixtures of an aqueous solution of nickel nitrate (Ni(NO3)2·6H2O; 99%) and an aqueous solution of ammonium heptamolybdate ((NH4)6Mo7O24·4H2O; 99%). The compounds were dissolved in water at 353K under stirring, which produced a viscous mixture. The solid products were dried at 353K overnight, heated above 673K for 4h, and then cooled to room temperature. TPRe was carried out under atmospheric pressure in a flow of 20.0vol% CH4/H2 gas mixture and the temperature linearly increased from room temperature (RT) to 973K. Then the samples were quenched to RT and gradually passivated with 1.0vol% O2/N2 before exposure to air. K2CO3 modification (K/Mo=1/5) was accomplished by physically mixing K2CO3 with the final carbide, and then the mixture was calcined at 773K."
3,Characterization methods,"2.2 Characterization methods X-ray powder diffraction (XRD) patterns of the tested catalysts were obtained on a Rigaku D/Max 2500 powder diffractometer using Cu Kα radiation as the X-ray source. Scanning electron microscopy (SEM) images were carried out using a LEO 438VP SEM (5KV). The X-ray Photoelectron Spectra (XPS) was recorded on a PHI-5300 spectrometer (Physical Electronics, USA) using an Al Kα X-Ray source, the base pressure of the chamber was less than 2×10−8 Pa."
4,CO hydrogenation,"2.3 CO hydrogenation CO hydrogenation was conducted with a fixed-bed, stainless flow reactor with 2.0ml of catalysts (pellets, 40–60 mesh). The products were analyzed by 1790-GC, and H2, CO, CH4 and CO2 were analyzed by thermal conductivity detector (TCD) equipped with a TDX-101 column. The water and methanol in liquids were also detected by TCD with a GDX-401 column, but the alcohols and hydrocarbons were analyzed by flame ionization detector (FID) with a Propake-Q column."
5,Results and discussion,
6,Structural and morphological properties,"3.1 Structural and morphological properties The XRD patterns of the samples are shown in Fig. 1 , it can be seen that β-Mo2C-based catalysts all had definitive phase of the molybdenum carbide with HCP structure [20] (2θ =34.4°, 38.0°, 39.4°, 52.1°, 61.5°, 69.6°, 74.6° and 75.6° for β-Mo2C [100], [002], [101], [102], [110], [103], [112] and [201], respectively). With the promotion by potassium, the intensity of peaks assigned to β-Mo2C became slightly weak. Meanwhile, there appeared new diffraction peaks with 2θ values of 49.5° and 66.7°, it could be tentatively assigned to mixed “K-Mo-C” entities, which were analogous to “K-Mo-S” in the K/MoS2 catalysts. For K/Ni/β-Mo2C catalyst, the intensity of peaks assigned to β-Mo2C became weaker and diffraction peaks corresponding to the metallic Ni were detected (2θ values was at 44.5° and 51.3°) [21,22], and the intensity of Ni metal became strong as the Ni content increased. The SEM micrographs of samples indicated that β-Mo2C showed regular morphology of hexagonal particles. However, modified by potassium, the surface of β-Mo2C appeared to be decorated by small clusters, which might be related to K2CO3 and/or “K-Mo-C” particles. For K/Ni/β-Mo2C catalyst, morphological differences among these samples were evident. When nickel content was low, the surface of the β-Mo2C appeared to be covered with a great deal of small-conglutinated particles and showed an irregular shape. Moreover, a progressive surface decoration was observed as a function of the concentration of promoter nickel in these micrographs (see Fig. 2c). With relatively higher nickel content, larger particles were formed on the surface of β-Mo2C. Combined with XRD analysis, the large particles might be related to the assemblies of Ni metal (see Fig. 2d). As the catalysts for mixed alcohols synthesis, the interaction between Mo and promoters and the dispersion of catalysts exerted great influence on the catalytic performance [23,24]. Catalysts with small crystallites had an advantage to produce alcohols while larger crystallites led mainly to methane [9]. In the present case, remarkable changes of morphology and structure caused by Ni promoter indicated that the performances of mixed alcohols synthesis might be related closely to the structural effect of nickel. The surface compositions of β-Mo2C-based catalysts are listed in Table 1 . It showed that the surface content of K was higher than its stoichiometry, indicating that the K promoter existed in the form of “K-Mo-C” particles on the surface of catalysts, which was consistent with SEM observation. Also, the ratio of surface content of carbon to molybdenum was much higher than its theoretical stoichiometry, namely, 0.5, suggesting that amorphous carbon was deposited on the catalysts and was unavoidable during the preparation procedure. However, it was worth noting that the surface content of Ni was much lower than its stoichiometry. These suggested that there was strong interaction between Ni and β-Mo2C. Combined with the SEM observation, the remarkable changes of morphology and structure of β-Mo2C could be attributed to the nickel fully inserted into the bulk of β-Mo2C."
7,The synergistic effect of potassium and nickel on β-Mo2C,"3.2 The synergistic effect of potassium and nickel on β-Mo2C The Mo3d, Ni2p, K2p and C1s XPS spectra are presented in Fig. 3 . It showed the presence of Mo3d in several oxidation states located at 228.4eV, 232.5eV, and 235.5eV. For β-Mo2C, two species with a Mo3d5/2 binding energy (B.E.) around 229eV were identified, the first one assigned to Mo2+(228.4eV) and the second to Mo4+(229.4eV). The Mo3d5/2 peak at the lower B.E. (228.4eV) was consistent with the carbidic phase [25], no metallic molybdenum being detected. Higher B.E. signals were also observed on β-Mo2C catalyst, at about 231.8eV and 232.5eV, assigned to Mo5+ and Mo6+ of Mo3d5/2, respectively [20], and these peaks were characteristic of oxidized phases, resulting from the passivation step. Modified by potassium, the position of Mo3d5/2 shifted to lower B.E., the intensity of Mo2+ decreased and the ratio of Mo2+ to Mo4+ remarkably reduced compared with those of on β-Mo2C. The addition of nickel to K/β-Mo2C, the XPS spectra changed remarkably. The intensity of signals assigned to Mo2+ and Mo4+ increased simultaneously and the position shifted to higher B.E. Meanwhile, a new signal appeared at the 225.7eV, which could be assigned to Mo0 [20]. However, these signals became weak as the Ni content further increased. From the Ni2p spectra, the signals shifted to higher B.E. as Ni content increased. For Ni2p3/2, the signals at the 855.9eV and 856.8eV might be assigned to Ni2+ [26]. Laniecki et al. reported that the presence of Ni2+ enhanced the reducibility of Mo species and was responsible for the improvement of the catalytic performance [27]. The signal at the 852.8eV might be assigned to Ni0 and its intensity became strong with increasing the Ni content [26], this generally indicated electron donation to Mo atoms [28]. The electron interaction between nickel and molybdenum resulted in the increased d-orbital occupation in molybdenum atoms, which further increased the intrinsic activity. Nikolova et al. reported that the addition of nickel resulted in the middle value of the Mo4+ contribution, as compared to the unsupported Mo sample [29]. In terms of catalytic performances of CO hydrogenation reaction (see below), the increase in the number of Mo4+ on the surface of β-Mo2C might favor the alcohols synthesis, whereas the lower valence of Mo (Mo2+and Mo0) might favor the hydrocarbons synthesis [30,31]. The K2p spectrum primarily showed two strong XPS peaks, in all cases, the intensity of signals almost remained the same. However, addition of Ni to K/β-Mo2C, the position shifted to lower B.E., however, it shifted to higher B.E. again. As mentioned above, the electron transferred from nickel to molybdenum increased the intrinsic activity and had strong interaction between K and Mo, which made the signals of potassium shift to lower B.E., and this effect became weak as the Ni content increased. The C1s spectra primarily showed three XPS peaks. For β-Mo2C and K/β-Mo2C catalysts, the signals almost remained the same. The signal at 284.8eV was attributed to amorphous carbon as reported by several authors [32–35]. The signal at 288.6eV was attributed to the carbon atoms involved in carbonate species (CO), and was due to contamination [34,35]. Further investigation revealed the weak signal at 283.5eV might correspond to a carbon bonded to a metal in a carbide form [32–35]. Because amorphous carbon formed by the pyrolytic reaction was accumulated on molybdenum carbides, the signals of C1s at 284.8eV was very strong. Thus, the signal for the carbon atoms in the carbide form was very weak. However, promoted by potassium and nickel, the deposited carbon was greatly suppressed and the signal (283.5eV) for the carbon atoms in the carbide form became strong."
8,Catalytic performances,"3.3 Catalytic performances The results of carbon monoxide hydrogenation over the β-Mo2C-based catalysts are given in Table 2 . For β-Mo2C catalyst, the CO conversion was high and hydrocarbons were the major products, only little alcohol was formed. In alcohol products, methanol was the main one, about 70.0 C% (see Fig. 4 ). Modified by potassium, the CO conversion over β-Mo2C catalyst was reduced approximately from 58.6 C% to 23.4 C%, yet the main products shifted from hydrocarbons to alcohols and the STY of alcohol achieved 122.1g/(Lh). In alcohol products, the methanol was depressed and the value of C2 +OH up to about 64.0 C% (see Fig. 4). Obviously, the addition of Ni to K/β-Mo2C catalyst led to a sharp increase in both the activity and selectivity to C2 +OH. Compared with β-Mo2C and K/β-Mo2C catalyst, the proportion of methanol was further suppressed and C2 +OH became the major liquid products. This indicated that nickel had strong ability to promote the carbon chain growth. For K/Ni/β-Mo2C catalyst, the optimum of Ni/Mo molar ratio was about 1/8–1/6. At Ni/Mo molar ratio of 1/8, a high CO conversion rate of 73.0 C% was obtained, and the STY of alcohol reached the maximum, 324.2g/(Lh). At the Ni/Mo molar ratio of 1/6, the CO conversion up to 77.7 C% and the selectivity to alcohols was slightly reduced. As the Ni content further increased, the selectivity to C2 +OH, especially the C3OH and C4OH, increased remarkably, but the selectivity to hydrocarbons greatly increased. Thus, it could be concluded that Ni promoter had dual function in CO hydrogenation, one was to favor the higher alcohols synthesis due to its strong ability of CO insertion, and the other was to promote the hydrocarbons synthesis due to its strong ability of CO dissociation [16–18]. Combined with XRD and SEM observation, the aggregated Ni particles might favor the synthesis of hydrocarbons and highly dispersed Ni in the catalysts favored the synthesis of alcohols. The typical change in CO conversion and selectivity of alcohols with time on stream is shown in Fig. 5 . Initially, K/β-Mo2C catalyst showed high CO conversions and relatively low selectivity to alcohols. The CO conversions decreased and alcohol selectivity increased with time on stream, and a steady state was obtained after 72h. The catalyst exhibited a constant activity and selectivity up to 144h without any deactivation. Generally, molybdenum-based catalysts for mixed alcohols synthesis from CO hydrogenation had an induction period [23]. For molybdenum carbide, a part of the surface oxygen on the β-Mo2C catalyst probably reacted with carbidic carbon and was removed from the uppermost surface layer during this induction period [6]. It was also believed that during the induction, some surface carbon atoms of carbide and some deposited carbon species were eliminated before the catalysts had enough hydrogenation ability [36]."
9,Effect of potassium and nickel on chain propagation,"3.4 Effect of potassium and nickel on chain propagation For β-Mo2C catalyst, the distribution of hydrocarbons and alcohols had similar linear Anderson-Schultz-Flory (A-S-F) plots (see Fig. 6 ), the chain-growth probability P were 0.62 and 0.26, respectively [37]. Modified by potassium, the distribution of hydrocarbons still obeyed the linear A-S-F plot. However, the alcohols gave a unique deviation in the case of methanol, indicating a different reaction mechanism for alcohols formation over K/β-Mo2C catalysts. However, it was worth noting that the C2–C4 alcohols still followed the linear distribution plot and the chain-growth probability P of 0.29 was obtained, which the value for the alcohols production was quite different from that of the production of hydrocarbons. Promoted by both potassium and nickel, β-Mo2C showed similar types of A-S-F plots of hydrocarbons and alcohols to K/β-Mo2C catalyst. The chain-growth probability of hydrocarbons and alcohols increased simultaneously as the Ni/Mo molar ratios increased from 0.48 to 0.68 and from 0.29 to 0.61, respectively. It meant that potassium exerted a positive function on the whole chain propagation to produce alcohols and nickel further enhanced the activity and selectivity to C2 +OH. The main difference of reaction mechanism over K/Ni/β-Mo2C and β-Mo2C catalysts lied in chain propagation of C1OH to C2OH. For K/Ni/β-Mo2C catalyst, a surface phase such as the “K-Mo-C” was responsible for the higher value of C2 +OH with Ni further enhanced the chain propagation to produce alcohols, especially for the C1 to C2 conversion. Due to the bifunctionality of nickel, namely, the formation of corresponding precursor of alcohol (CHx) and the strong ability of CO insertion [12], it was likely that over the K/Ni/β-Mo2C catalyst, the “K-Mo-C” phase was the active site for the alcohols synthesis, and highly dispersed Ni further enhanced the ability of chain growth to produce C2 +OH, whereas the aggregated Ni particles led to the severe methanation. However, in terms of XPS results and catalytic performance of β-Mo2C-based catalysts, it could be concluded that the formation of alcohols might be attributable to the presence of Mo4+ species, whereas the products of hydrocarbons was closely associated with Mo2+ and/or Mo0 species on the surface of the catalysts as reported by Muramatsu et al. and Zhang et al. [30,31]."
